series_id,obs_date,value
PMI_composite:7378,1991-02-01,81.62
PMI_composite:7378,1991-03-01,87.12
PMI_composite:7378,1991-04-01,111.05
PMI_composite:7378,1991-05-01,154.1
PMI_composite:7378,1991-06-01,165.28
PMI_composite:7378,1991-07-01,113.03
PMI_composite:7378,1991-08-01,95.58
PMI_composite:7378,1991-09-01,81.4
PMI_composite:7378,1991-10-01,86.78
PMI_composite:7378,1991-11-01,96.24
PMI_composite:7378,1991-12-01,67.13
PMI_composite:7378,1992-01-01,88.36
PMI_composite:7378,1992-02-01,116.58
PMI_composite:7378,1992-03-01,104.1
PMI_composite:7378,1992-04-01,101.5
PMI_composite:7378,1992-05-01,83.69
PMI_composite:7378,1992-06-01,84.6
PMI_composite:7378,1992-07-01,98.91
PMI_composite:7378,1992-08-01,87.57
PMI_composite:7378,1992-09-01,84.25
PMI_composite:7378,1992-10-01,66.13
PMI_composite:7378,1992-11-01,80.94
PMI_composite:7378,1992-12-01,89.0
PMI_composite:7378,1993-01-01,92.77
PMI_composite:7378,1993-02-01,116.49
PMI_composite:7378,1993-03-01,125.09
PMI_composite:7378,1993-04-01,105.03
PMI_composite:7378,1993-05-01,116.19
PMI_composite:7378,1993-06-01,122.22
PMI_composite:7378,1993-07-01,130.8
PMI_composite:7378,1993-08-01,149.57
PMI_composite:7378,1993-09-01,146.28
PMI_composite:7378,1993-10-01,147.79
PMI_composite:7378,1993-11-01,149.52
PMI_composite:7378,1993-12-01,124.39
PMI_composite:7378,1994-01-01,146.07
PMI_composite:7378,1994-02-01,137.87
PMI_composite:7378,1994-03-01,168.75
PMI_composite:7378,1994-04-01,152.47
PMI_composite:7378,1994-05-01,184.9
PMI_composite:7378,1994-06-01,188.47
PMI_composite:7378,1994-07-01,186.74
PMI_composite:7378,1994-08-01,208.67
PMI_composite:7378,1994-09-01,224.09
PMI_composite:7378,1994-10-01,204.76
PMI_composite:7378,1994-11-01,197.84
PMI_composite:7378,1994-12-01,197.59
PMI_composite:7378,1995-01-01,208.54
PMI_composite:7378,1995-02-01,215.45
PMI_composite:7378,1995-03-01,238.6
PMI_composite:7378,1995-04-01,137.6
PMI_composite:7378,1995-05-01,115.51
PMI_composite:7378,1995-06-01,131.2
PMI_composite:7378,1995-07-01,107.27
PMI_composite:7378,1995-08-01,57.65
PMI_composite:7378,1995-09-01,60.14
PMI_composite:7378,1995-10-01,54.0
PMI_composite:7378,1995-11-01,60.91
PMI_composite:7378,1995-12-01,66.2
PMI_composite:7378,1996-01-01,72.36
PMI_composite:7378,1996-02-01,109.81
PMI_composite:7378,1996-03-01,99.97
PMI_composite:7378,1996-04-01,94.89
PMI_composite:7378,1996-05-01,103.6
PMI_composite:7378,1996-06-01,90.65
PMI_composite:7378,1996-07-01,105.65
PMI_composite:7378,1996-08-01,102.5
PMI_composite:7378,1996-09-01,94.35
PMI_composite:7378,1996-10-01,99.76
PMI_composite:7378,1996-11-01,111.41
PMI_composite:7378,1996-12-01,100.83
PMI_composite:7378,1997-01-01,112.73
PMI_composite:7378,1997-02-01,120.24
PMI_composite:7378,1997-03-01,130.55
PMI_composite:7378,1997-04-01,131.14
PMI_composite:7378,1997-05-01,132.46
PMI_composite:7378,1997-06-01,136.23
PMI_composite:7378,1997-07-01,126.49
PMI_composite:7378,1997-08-01,134.13
PMI_composite:7378,1997-09-01,118.86
PMI_composite:7378,1997-10-01,150.56
PMI_composite:7378,1997-11-01,132.58
PMI_composite:7378,1997-12-01,106.65
PMI_composite:7378,1998-01-01,121.39
PMI_composite:7378,1998-02-01,133.58
PMI_composite:7378,1998-03-01,173.91
PMI_composite:7378,1998-04-01,143.44
PMI_composite:7378,1998-05-01,136.18
PMI_composite:7378,1998-06-01,134.15
PMI_composite:7378,1998-07-01,141.78
PMI_composite:7378,1998-08-01,130.72
PMI_composite:7378,1998-09-01,122.14
PMI_composite:7378,1998-10-01,107.6
PMI_composite:7378,1998-11-01,91.44
PMI_composite:7378,1998-12-01,69.54
PMI_composite:7378,1999-01-01,78.59
PMI_composite:7378,1999-02-01,102.11
PMI_composite:7378,1999-03-01,132.8
PMI_composite:7378,1999-04-01,123.14
PMI_composite:7378,1999-05-01,121.52
PMI_composite:7378,1999-06-01,126.39
PMI_composite:7378,1999-07-01,99.14
PMI_composite:7378,1999-08-01,101.9
PMI_composite:7378,1999-09-01,98.66
PMI_composite:7378,1999-10-01,102.45
PMI_composite:7378,1999-11-01,95.9
PMI_composite:7378,1999-12-01,94.07
PMI_composite:7378,2000-01-01,99.48
PMI_composite:7378,2000-02-01,113.79
PMI_composite:7378,2000-03-01,134.07
PMI_composite:7378,2000-04-01,104.01
PMI_composite:7378,2000-05-01,141.68
PMI_composite:7378,2000-06-01,134.59
PMI_composite:7378,2000-07-01,127.76
PMI_composite:7378,2000-08-01,144.24
PMI_composite:7378,2000-09-01,128.77
PMI_composite:7378,2000-10-01,133.31
PMI_composite:7378,2000-11-01,153.95
PMI_composite:7378,2000-12-01,107.69
PMI_composite:7378,2001-01-01,119.69
PMI_composite:7378,2001-02-01,141.23
PMI_composite:7378,2001-03-01,168.45
PMI_composite:7378,2001-04-01,158.07
PMI_composite:7378,2001-05-01,151.44
PMI_composite:7378,2001-06-01,145.22
PMI_composite:7378,2001-07-01,156.07
PMI_composite:7378,2001-08-01,143.73
PMI_composite:7378,2001-09-01,147.26
PMI_composite:7378,2001-10-01,180.77
PMI_composite:7378,2001-11-01,173.91
PMI_composite:7378,2001-12-01,142.7
PMI_composite:7378,2002-01-01,134.46
PMI_composite:7378,2002-02-01,158.88
PMI_composite:7378,2002-03-01,178.93
PMI_composite:7378,2002-04-01,189.14
PMI_composite:7378,2002-05-01,168.59
PMI_composite:7378,2002-06-01,162.28
PMI_composite:7378,2002-07-01,187.93
PMI_composite:7378,2002-08-01,193.54
PMI_composite:7378,2002-09-01,208.25
PMI_composite:7378,2002-10-01,233.85
PMI_composite:7378,2002-11-01,210.36
PMI_composite:7378,2002-12-01,142.36
PMI_composite:7378,2003-01-01,139.63
PMI_composite:7378,2003-02-01,183.21
PMI_composite:7378,2003-03-01,206.86
PMI_composite:7378,2003-04-01,221.28
PMI_composite:7378,2003-05-01,245.13
PMI_composite:7378,2003-06-01,223.33
PMI_composite:7378,2003-07-01,237.53
PMI_composite:7378,2003-08-01,260.14
PMI_composite:7378,2003-09-01,272.4
PMI_composite:7378,2003-10-01,281.67
PMI_composite:7378,2003-11-01,260.84
PMI_composite:7378,2003-12-01,172.08
PMI_composite:7378,2004-01-01,182.71
