series_id,obs_date,value
A006RC:A,1929-12-31,17170.0
A006RC:A,1930-12-31,11428.0
A006RC:A,1931-12-31,6549.0
A006RC:A,1932-12-31,1819.0
A006RC:A,1933-12-31,2276.0
A006RC:A,1934-12-31,4296.0
A006RC:A,1935-12-31,7370.0
A006RC:A,1936-12-31,9391.0
A006RC:A,1937-12-31,12967.0
A006RC:A,1938-12-31,7944.0
A006RC:A,1939-12-31,10229.0
A006RC:A,1940-12-31,14579.0
A006RC:A,1941-12-31,19369.0
A006RC:A,1942-12-31,11762.0
A006RC:A,1943-12-31,7405.0
A006RC:A,1944-12-31,9180.0
A006RC:A,1945-12-31,12400.0
A006RC:A,1946-12-31,33128.0
A006RC:A,1947-12-31,37131.0
A006RC:A,1948-12-31,50347.0
A006RC:A,1949-12-31,39099.0
A006RC:A,1950-12-31,56530.0
A006RC:A,1951-12-31,62759.0
A006RC:A,1952-12-31,57274.0
A006RC:A,1953-12-31,60414.0
A006RC:A,1954-12-31,58070.0
A006RC:A,1955-12-31,73754.0
A006RC:A,1956-12-31,77685.0
A006RC:A,1957-12-31,76505.0
A006RC:A,1958-12-31,70947.0
A006RC:A,1959-12-31,85669.0
A006RC:A,1960-12-31,86477.0
A006RC:A,1961-12-31,86584.0
A006RC:A,1962-12-31,96977.0
A006RC:A,1963-12-31,103284.0
A006RC:A,1964-12-31,112150.0
A006RC:A,1965-12-31,129645.0
A006RC:A,1966-12-31,144188.0
A006RC:A,1967-12-31,142700.0
A006RC:A,1968-12-31,156923.0
A006RC:A,1969-12-31,173562.0
A006RC:A,1970-12-31,170049.0
A006RC:A,1971-12-31,196824.0
A006RC:A,1972-12-31,228140.0
A006RC:A,1973-12-31,266925.0
A006RC:A,1974-12-31,274526.0
A006RC:A,1975-12-31,257253.0
A006RC:A,1976-12-31,323224.0
A006RC:A,1977-12-31,396613.0
A006RC:A,1978-12-31,478377.0
A006RC:A,1979-12-31,539657.0
A006RC:A,1980-12-31,530098.0
A006RC:A,1981-12-31,631229.0
A006RC:A,1982-12-31,581034.0
A006RC:A,1983-12-31,637518.0
A006RC:A,1984-12-31,820089.0
A006RC:A,1985-12-31,829650.0
A006RC:A,1986-12-31,849146.0
A006RC:A,1987-12-31,892176.0
A006RC:A,1988-12-31,936963.0
A006RC:A,1989-12-31,999701.0
A006RC:A,1990-12-31,993448.0
A006RC:A,1991-12-31,944344.0
A006RC:A,1992-12-31,1013006.0
A006RC:A,1993-12-31,1106826.0
A006RC:A,1994-12-31,1256484.0
A006RC:A,1995-12-31,1317489.0
A006RC:A,1996-12-31,1432055.0
A006RC:A,1997-12-31,1595600.0
A006RC:A,1998-12-31,1736671.0
A006RC:A,1999-12-31,1887059.0
A006RC:A,2000-12-31,2038408.0
A006RC:A,2001-12-31,1934842.0
A006RC:A,2002-12-31,1930417.0
A006RC:A,2003-12-31,2027056.0
A006RC:A,2004-12-31,2281253.0
A006RC:A,2005-12-31,2534720.0
A006RC:A,2006-12-31,2700954.0
A006RC:A,2007-12-31,2673011.0
A006RC:A,2008-12-31,2477613.0
A006RC:A,2009-12-31,1929664.0
A006RC:A,2010-12-31,2165473.0
A006RC:A,2011-12-31,2332562.0
A006RC:A,2012-12-31,2621754.0
A006RC:A,2013-12-31,2838327.0
A006RC:A,2014-12-31,3073981.0
A006RC:A,2015-12-31,3288481.0
A006RC:A,2016-12-31,3278305.0
A006RC:A,2017-12-31,3467664.0
A006RC:A,2018-12-31,3724770.0
A006RC:A,2019-12-31,3893734.0
A006RC:A,2020-12-31,3763386.0
A006RC:A,2021-12-31,4246545.0
A006RC:A,2022-12-31,4844333.0
A006RC:A,2023-12-31,5023712.0
A006RC:A,2024-12-31,5259320.0
A006RC:A,2025-12-31,5458629.0
