series_id,obs_date,value
export_bilateral:410:643,2014-12-31,10131567893.0
export_bilateral:410:643,2015-12-31,4685732130.0
export_bilateral:410:643,2016-12-31,4768750644.0
export_bilateral:410:643,2017-12-31,6906616423.0
export_bilateral:410:643,2018-12-31,7320870993.0
export_bilateral:410:643,2019-12-31,7774022013.0
export_bilateral:410:643,2020-12-31,6899967875.0
export_bilateral:410:643,2021-12-31,9979538436.0
export_bilateral:410:643,2022-12-31,6328172797.0
export_bilateral:410:643,2023-12-31,6122425926.0
export_bilateral:410:643,2024-12-31,4523886991.0
export_bilateral:410:643,2025-12-31,4041357580.0
