series_id,obs_date,value
export_total:124,2014-12-31,475177176344.0
export_total:124,2015-12-31,408697323603.511
export_total:124,2016-12-31,388853141939.71
export_total:124,2017-12-31,420074382189.806
export_total:124,2018-12-31,450392396468.983
export_total:124,2019-12-31,445513105927.581
export_total:124,2020-12-31,388173370601.212
export_total:124,2021-12-31,501623466672.538
export_total:124,2022-12-31,599941807666.279
export_total:124,2023-12-31,567344538003.471
export_total:124,2024-12-31,569285839778.316
export_total:124,2025-12-31,563980718072.159
