series_id,obs_date,value
import_bilateral:710:643,2014-12-31,455968534.25
import_bilateral:710:643,2015-12-31,483572955.986
import_bilateral:710:643,2016-12-31,258762696.488
import_bilateral:710:643,2017-12-31,393176394.264
import_bilateral:710:643,2018-12-31,511822794.249
import_bilateral:710:643,2019-12-31,530067734.258
import_bilateral:710:643,2020-12-31,529778747.299
import_bilateral:710:643,2021-12-31,622916945.84
import_bilateral:710:643,2022-12-31,547880698.234
import_bilateral:710:643,2023-12-31,522809944.307
import_bilateral:710:643,2024-12-31,558540529.219
import_bilateral:710:643,2025-12-31,513905863.404
