series_id,obs_date,value
import_total:348,2014-12-31,104178438000.0
import_total:348,2015-12-31,90760850877.0
import_total:348,2016-12-31,92209667137.0
import_total:348,2017-12-31,104394044411.0
import_total:348,2018-12-31,117381592676.0
import_total:348,2019-12-31,117324011167.0
import_total:348,2020-12-31,113422659451.0
import_total:348,2021-12-31,139132012128.0
import_total:348,2022-12-31,159334561983.0
import_total:348,2023-12-31,150647777974.957
import_total:348,2024-12-31,143669146379.315
import_total:348,2025-12-31,153156547647.428
