series_id,obs_date,value
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2008-12-31,202675.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2009-12-31,198773.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2010-12-31,195802.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2011-12-31,194263.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2012-12-31,192060.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2013-12-31,191648.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2014-12-31,191284.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2015-12-31,191957.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2016-12-31,190649.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2017-12-31,189760.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2018-12-31,189651.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2019-12-31,188346.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2020-12-31,184025.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2021-12-31,185291.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2022-12-31,185603.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2023-12-31,180385.0
DST:AFSTB3:BOPOMR=000:SOCIO=05:KOEN=TOT:PENDAFST=000,2024-12-31,177150.0
