series_id,obs_date,value
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1990-12-31,133.8
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1991-12-31,30.8
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1992-12-31,65.3
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1993-12-31,72.9
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1994-12-31,60.6
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1995-12-31,48.3
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1996-12-31,45.8
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1997-12-31,41.8
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1998-12-31,37.1
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,1999-12-31,42.7
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2000-12-31,36.1
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2001-12-31,34.0
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2002-12-31,30.5
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2003-12-31,30.6
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2004-12-31,33.6
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2005-12-31,32.6
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2006-12-31,30.7
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2007-12-31,33.4
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2008-12-31,32.1
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2009-12-31,29.0
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2010-12-31,27.4
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2011-12-31,24.8
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2012-12-31,23.4
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2013-12-31,23.5
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2014-12-31,23.5
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2015-12-31,22.9
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2016-12-31,21.7
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2017-12-31,20.5
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2018-12-31,21.3
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2019-12-31,20.0
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2020-12-31,19.1
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2021-12-31,18.6
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2022-12-31,19.5
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2023-12-31,20.7
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2024-12-31,21.4
DST:ANI5:DYRKAT=EKSPORT1:ENHED=GENSLAG,2025-12-31,20.5
DST:ANI5:DYRKAT=EKSPORT1:ENHED=PROD,1990-12-31,1.2
DST:ANI5:DYRKAT=EKSPORT1:ENHED=PROD,1991-12-31,7.4
DST:ANI5:DYRKAT=EKSPORT1:ENHED=PROD,1992-12-31,14.0
