series_id,obs_date,value
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1990-12-31,31177.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1991-12-31,32307.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1992-12-31,32684.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1993-12-31,34548.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1994-12-31,34338.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1995-12-31,35386.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1996-12-31,35762.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1997-12-31,34625.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1998-12-31,34556.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,1999-12-31,33853.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2000-12-31,33669.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2001-12-31,34187.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2002-12-31,33263.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2003-12-31,32777.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2004-12-31,33150.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2005-12-31,32906.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2006-12-31,32660.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2007-12-31,33275.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2008-12-31,32724.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2009-12-31,33374.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2010-12-31,32222.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2011-12-31,32405.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2012-12-31,29979.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2013-12-31,29783.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2014-12-31,28550.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2015-12-31,29135.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2016-12-31,29781.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2017-12-31,31758.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2018-12-31,31410.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2019-12-31,31536.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2020-12-31,31426.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2021-12-31,31130.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2022-12-31,32470.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2023-12-31,30060.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2024-12-31,29452.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2025-12-31,29365.0
DST:BEF5:KØN=M:ALDER=0:FODLAND=5100,2026-12-31,30463.0
