series_id,obs_date,value
DST:BOGS04:GENRE=1000,2022-07-01,630254.0
DST:BOGS04:GENRE=1000,2022-08-01,663918.0
DST:BOGS04:GENRE=1000,2022-09-01,545722.0
DST:BOGS04:GENRE=1000,2022-10-01,576109.0
DST:BOGS04:GENRE=1000,2022-11-01,949052.0
DST:BOGS04:GENRE=1000,2022-12-01,1355442.0
DST:BOGS04:GENRE=1000,2023-01-01,575109.0
DST:BOGS04:GENRE=1000,2023-02-01,580749.0
DST:BOGS04:GENRE=1000,2023-03-01,564488.0
DST:BOGS04:GENRE=1000,2023-04-01,461295.0
DST:BOGS04:GENRE=1000,2023-05-01,479860.0
DST:BOGS04:GENRE=1000,2023-06-01,577486.0
DST:BOGS04:GENRE=1000,2023-07-01,743896.0
DST:BOGS04:GENRE=1000,2023-08-01,680668.0
DST:BOGS04:GENRE=1000,2023-09-01,598797.0
DST:BOGS04:GENRE=1000,2023-10-01,571576.0
DST:BOGS04:GENRE=1000,2023-11-01,1044098.0
DST:BOGS04:GENRE=1000,2023-12-01,1460281.0
DST:BOGS04:GENRE=1000,2024-01-01,677133.0
DST:BOGS04:GENRE=1000,2024-02-01,626497.0
DST:BOGS04:GENRE=1000,2024-03-01,560485.0
DST:BOGS04:GENRE=1000,2024-04-01,501348.0
DST:BOGS04:GENRE=1000,2024-05-01,517723.0
DST:BOGS04:GENRE=1000,2024-06-01,631297.0
DST:BOGS04:GENRE=1000,2024-07-01,693470.0
DST:BOGS04:GENRE=1000,2024-08-01,642062.0
DST:BOGS04:GENRE=1000,2024-09-01,569717.0
DST:BOGS04:GENRE=1000,2024-10-01,610019.0
DST:BOGS04:GENRE=1000,2024-11-01,1121311.0
DST:BOGS04:GENRE=1000,2024-12-01,1534154.0
DST:BOGS04:GENRE=1000,2025-01-01,690792.0
DST:BOGS04:GENRE=1000,2025-02-01,558515.0
DST:BOGS04:GENRE=1000,2025-03-01,593448.0
DST:BOGS04:GENRE=1000,2025-04-01,556081.0
DST:BOGS04:GENRE=1000,2025-05-01,609945.0
DST:BOGS04:GENRE=1000,2025-06-01,629530.0
DST:BOGS04:GENRE=1000,2025-07-01,731238.0
DST:BOGS04:GENRE=1000,2025-08-01,684831.0
DST:BOGS04:GENRE=1000,2025-09-01,650986.0
DST:BOGS04:GENRE=1000,2025-10-01,655249.0
DST:BOGS04:GENRE=1000,2025-11-01,1119793.0
DST:BOGS04:GENRE=1000,2025-12-01,1531059.0
DST:BOGS04:GENRE=1010,2022-07-01,174791.0
DST:BOGS04:GENRE=1010,2022-08-01,203344.0
DST:BOGS04:GENRE=1010,2022-09-01,161897.0
DST:BOGS04:GENRE=1010,2022-10-01,163857.0
DST:BOGS04:GENRE=1010,2022-11-01,288008.0
DST:BOGS04:GENRE=1010,2022-12-01,337558.0
DST:BOGS04:GENRE=1010,2023-01-01,126389.0
DST:BOGS04:GENRE=1010,2023-02-01,145888.0
DST:BOGS04:GENRE=1010,2023-03-01,173600.0
DST:BOGS04:GENRE=1010,2023-04-01,125789.0
DST:BOGS04:GENRE=1010,2023-05-01,113642.0
DST:BOGS04:GENRE=1010,2023-06-01,138094.0
DST:BOGS04:GENRE=1010,2023-07-01,231747.0
DST:BOGS04:GENRE=1010,2023-08-01,215421.0
DST:BOGS04:GENRE=1010,2023-09-01,185730.0
DST:BOGS04:GENRE=1010,2023-10-01,168296.0
DST:BOGS04:GENRE=1010,2023-11-01,312182.0
DST:BOGS04:GENRE=1010,2023-12-01,366894.0
DST:BOGS04:GENRE=1010,2024-01-01,149096.0
DST:BOGS04:GENRE=1010,2024-02-01,168331.0
DST:BOGS04:GENRE=1010,2024-03-01,162859.0
DST:BOGS04:GENRE=1010,2024-04-01,137852.0
DST:BOGS04:GENRE=1010,2024-05-01,142385.0
DST:BOGS04:GENRE=1010,2024-06-01,177476.0
DST:BOGS04:GENRE=1010,2024-07-01,221093.0
DST:BOGS04:GENRE=1010,2024-08-01,208698.0
DST:BOGS04:GENRE=1010,2024-09-01,171770.0
DST:BOGS04:GENRE=1010,2024-10-01,184148.0
DST:BOGS04:GENRE=1010,2024-11-01,360341.0
DST:BOGS04:GENRE=1010,2024-12-01,408729.0
DST:BOGS04:GENRE=1010,2025-01-01,170912.0
DST:BOGS04:GENRE=1010,2025-02-01,167082.0
DST:BOGS04:GENRE=1010,2025-03-01,184626.0
DST:BOGS04:GENRE=1010,2025-04-01,193469.0
DST:BOGS04:GENRE=1010,2025-05-01,189343.0
DST:BOGS04:GENRE=1010,2025-06-01,180553.0
DST:BOGS04:GENRE=1010,2025-07-01,235055.0
DST:BOGS04:GENRE=1010,2025-08-01,231465.0
DST:BOGS04:GENRE=1010,2025-09-01,208254.0
DST:BOGS04:GENRE=1010,2025-10-01,230884.0
DST:BOGS04:GENRE=1010,2025-11-01,364063.0
DST:BOGS04:GENRE=1010,2025-12-01,432792.0
DST:BOGS04:GENRE=1020,2022-07-01,83273.0
DST:BOGS04:GENRE=1020,2022-08-01,81469.0
DST:BOGS04:GENRE=1020,2022-09-01,79348.0
DST:BOGS04:GENRE=1020,2022-10-01,81626.0
DST:BOGS04:GENRE=1020,2022-11-01,134555.0
DST:BOGS04:GENRE=1020,2022-12-01,151715.0
DST:BOGS04:GENRE=1020,2023-01-01,54136.0
DST:BOGS04:GENRE=1020,2023-02-01,68687.0
DST:BOGS04:GENRE=1020,2023-03-01,100540.0
DST:BOGS04:GENRE=1020,2023-04-01,66376.0
DST:BOGS04:GENRE=1020,2023-05-01,55777.0
DST:BOGS04:GENRE=1020,2023-06-01,64640.0
DST:BOGS04:GENRE=1020,2023-07-01,119753.0
DST:BOGS04:GENRE=1020,2023-08-01,99438.0
DST:BOGS04:GENRE=1020,2023-09-01,104122.0
DST:BOGS04:GENRE=1020,2023-10-01,89606.0
DST:BOGS04:GENRE=1020,2023-11-01,159228.0
DST:BOGS04:GENRE=1020,2023-12-01,177015.0
DST:BOGS04:GENRE=1020,2024-01-01,72786.0
DST:BOGS04:GENRE=1020,2024-02-01,90476.0
DST:BOGS04:GENRE=1020,2024-03-01,83831.0
DST:BOGS04:GENRE=1020,2024-04-01,68106.0
DST:BOGS04:GENRE=1020,2024-05-01,74355.0
DST:BOGS04:GENRE=1020,2024-06-01,82064.0
DST:BOGS04:GENRE=1020,2024-07-01,94617.0
DST:BOGS04:GENRE=1020,2024-08-01,91812.0
DST:BOGS04:GENRE=1020,2024-09-01,88816.0
DST:BOGS04:GENRE=1020,2024-10-01,95662.0
DST:BOGS04:GENRE=1020,2024-11-01,179903.0
DST:BOGS04:GENRE=1020,2024-12-01,185093.0
DST:BOGS04:GENRE=1020,2025-01-01,84394.0
DST:BOGS04:GENRE=1020,2025-02-01,93488.0
DST:BOGS04:GENRE=1020,2025-03-01,105246.0
DST:BOGS04:GENRE=1020,2025-04-01,113878.0
DST:BOGS04:GENRE=1020,2025-05-01,103314.0
DST:BOGS04:GENRE=1020,2025-06-01,91678.0
DST:BOGS04:GENRE=1020,2025-07-01,125862.0
DST:BOGS04:GENRE=1020,2025-08-01,115276.0
DST:BOGS04:GENRE=1020,2025-09-01,107168.0
DST:BOGS04:GENRE=1020,2025-10-01,130424.0
DST:BOGS04:GENRE=1020,2025-11-01,198496.0
DST:BOGS04:GENRE=1020,2025-12-01,228370.0
DST:BOGS04:GENRE=1030,2022-07-01,8845.0
DST:BOGS04:GENRE=1030,2022-08-01,9496.0
DST:BOGS04:GENRE=1030,2022-09-01,8305.0
DST:BOGS04:GENRE=1030,2022-10-01,12696.0
DST:BOGS04:GENRE=1030,2022-11-01,40614.0
DST:BOGS04:GENRE=1030,2022-12-01,48470.0
DST:BOGS04:GENRE=1030,2023-01-01,10593.0
DST:BOGS04:GENRE=1030,2023-02-01,20467.0
DST:BOGS04:GENRE=1030,2023-03-01,16038.0
DST:BOGS04:GENRE=1030,2023-04-01,12019.0
DST:BOGS04:GENRE=1030,2023-05-01,9910.0
DST:BOGS04:GENRE=1030,2023-06-01,15490.0
DST:BOGS04:GENRE=1030,2023-07-01,21453.0
DST:BOGS04:GENRE=1030,2023-08-01,15082.0
DST:BOGS04:GENRE=1030,2023-09-01,12330.0
DST:BOGS04:GENRE=1030,2023-10-01,15795.0
DST:BOGS04:GENRE=1030,2023-11-01,37035.0
DST:BOGS04:GENRE=1030,2023-12-01,51097.0
DST:BOGS04:GENRE=1030,2024-01-01,11000.0
DST:BOGS04:GENRE=1030,2024-02-01,11586.0
DST:BOGS04:GENRE=1030,2024-03-01,12501.0
DST:BOGS04:GENRE=1030,2024-04-01,11533.0
DST:BOGS04:GENRE=1030,2024-05-01,11293.0
DST:BOGS04:GENRE=1030,2024-06-01,18995.0
DST:BOGS04:GENRE=1030,2024-07-01,18198.0
DST:BOGS04:GENRE=1030,2024-08-01,15745.0
DST:BOGS04:GENRE=1030,2024-09-01,12681.0
DST:BOGS04:GENRE=1030,2024-10-01,13563.0
DST:BOGS04:GENRE=1030,2024-11-01,36678.0
DST:BOGS04:GENRE=1030,2024-12-01,54356.0
DST:BOGS04:GENRE=1030,2025-01-01,17088.0
DST:BOGS04:GENRE=1030,2025-02-01,14105.0
DST:BOGS04:GENRE=1030,2025-03-01,12936.0
DST:BOGS04:GENRE=1030,2025-04-01,13849.0
DST:BOGS04:GENRE=1030,2025-05-01,18162.0
DST:BOGS04:GENRE=1030,2025-06-01,18200.0
DST:BOGS04:GENRE=1030,2025-07-01,21563.0
DST:BOGS04:GENRE=1030,2025-08-01,16742.0
DST:BOGS04:GENRE=1030,2025-09-01,15194.0
DST:BOGS04:GENRE=1030,2025-10-01,16552.0
DST:BOGS04:GENRE=1030,2025-11-01,33452.0
DST:BOGS04:GENRE=1030,2025-12-01,46039.0
DST:BOGS04:GENRE=1040,2022-07-01,49379.0
DST:BOGS04:GENRE=1040,2022-08-01,45788.0
DST:BOGS04:GENRE=1040,2022-09-01,41381.0
DST:BOGS04:GENRE=1040,2022-10-01,45424.0
DST:BOGS04:GENRE=1040,2022-11-01,73786.0
DST:BOGS04:GENRE=1040,2022-12-01,93069.0
DST:BOGS04:GENRE=1040,2023-01-01,31557.0
DST:BOGS04:GENRE=1040,2023-02-01,33810.0
DST:BOGS04:GENRE=1040,2023-03-01,34093.0
DST:BOGS04:GENRE=1040,2023-04-01,29983.0
DST:BOGS04:GENRE=1040,2023-05-01,29866.0
DST:BOGS04:GENRE=1040,2023-06-01,35452.0
DST:BOGS04:GENRE=1040,2023-07-01,44585.0
DST:BOGS04:GENRE=1040,2023-08-01,39919.0
DST:BOGS04:GENRE=1040,2023-09-01,32074.0
DST:BOGS04:GENRE=1040,2023-10-01,37540.0
DST:BOGS04:GENRE=1040,2023-11-01,84135.0
DST:BOGS04:GENRE=1040,2023-12-01,100767.0
DST:BOGS04:GENRE=1040,2024-01-01,36693.0
DST:BOGS04:GENRE=1040,2024-02-01,40885.0
DST:BOGS04:GENRE=1040,2024-03-01,42212.0
DST:BOGS04:GENRE=1040,2024-04-01,36568.0
DST:BOGS04:GENRE=1040,2024-05-01,38402.0
DST:BOGS04:GENRE=1040,2024-06-01,50364.0
DST:BOGS04:GENRE=1040,2024-07-01,59533.0
DST:BOGS04:GENRE=1040,2024-08-01,45586.0
DST:BOGS04:GENRE=1040,2024-09-01,35955.0
DST:BOGS04:GENRE=1040,2024-10-01,44708.0
DST:BOGS04:GENRE=1040,2024-11-01,88025.0
DST:BOGS04:GENRE=1040,2024-12-01,101621.0
