series_id,obs_date,value
DST:BYGV04:BYGFASE=30:ANVEND=099,1982-12-31,5467048.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1983-12-31,6911980.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1984-12-31,8401377.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1985-12-31,9911266.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1986-12-31,10903624.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1987-12-31,9650994.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1988-12-31,8802090.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1989-12-31,7706168.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1990-12-31,6696537.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1991-12-31,5840845.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1992-12-31,5514638.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1993-12-31,4242051.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1994-12-31,5368587.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1995-12-31,6021589.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1996-12-31,7483061.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1997-12-31,8622818.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1998-12-31,9241299.0
DST:BYGV04:BYGFASE=30:ANVEND=099,1999-12-31,8886058.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2000-12-31,9224741.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2001-12-31,9561005.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2002-12-31,9170502.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2003-12-31,9314222.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2004-12-31,9878974.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2005-12-31,11563998.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2006-12-31,13455980.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2007-12-31,10550337.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2008-12-31,9154114.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2009-12-31,5786009.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2010-12-31,6562518.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2011-12-31,6443696.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2012-12-31,5730259.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2013-12-31,5653554.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2014-12-31,6215345.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2015-12-31,6966101.0
DST:BYGV04:BYGFASE=30:ANVEND=099,2016-12-31,7969323.0
