series_id,obs_date,value
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2005-12-31,8729.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2006-12-31,-3993.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2007-12-31,-6701.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2008-12-31,528.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2009-12-31,-1320.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2010-12-31,407.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2011-12-31,6869.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2012-12-31,-2425.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2013-12-31,-2350.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2014-12-31,-5772.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2015-12-31,2434.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2016-12-31,7831.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2017-12-31,517.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2018-12-31,-2389.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2019-12-31,-7223.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2020-12-31,-7616.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2021-12-31,2028.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2022-12-31,9040.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2023-12-31,714.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=F,2024-12-31,-5272.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2014-12-31,3571.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2015-12-31,4762.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2016-12-31,4061.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2017-12-31,4515.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2018-12-31,6353.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2019-12-31,3133.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2020-12-31,2324.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2021-12-31,3199.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2022-12-31,6076.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2023-12-31,8525.0
DST:DNFDIINC:LAND=A1:INSTRNAT=2.0:DATA=I,2024-12-31,1922.0
