series_id,obs_date,value
DST:EVBPCT:VALRES=BREV_IALT,1979-12-31,46397.0
DST:EVBPCT:VALRES=BREV_IALT,1984-12-31,65319.0
DST:EVBPCT:VALRES=BREV_IALT,1989-12-31,58608.0
DST:EVBPCT:VALRES=BREV_IALT,1994-12-31,79897.0
DST:EVBPCT:VALRES=BREV_IALT,1999-12-31,67839.0
DST:EVBPCT:VALRES=BREV_IALT,2004-12-31,86957.0
DST:EVBPCT:VALRES=BREV_IALT,2009-12-31,113773.0
DST:EVBPCT:VALRES=BREV_IALT,2014-12-31,135862.0
DST:EVBPCT:VALRES=BREV_IALT,2019-12-31,234525.0
DST:EVBPCT:VALRES=BREV_IALT,2024-12-31,227616.0
DST:EVBPCT:VALRES=GYLD_IALT,1979-12-31,1745078.0
DST:EVBPCT:VALRES=GYLD_IALT,1984-12-31,1990280.0
DST:EVBPCT:VALRES=GYLD_IALT,1989-12-31,1789395.0
DST:EVBPCT:VALRES=GYLD_IALT,1994-12-31,2079937.0
DST:EVBPCT:VALRES=GYLD_IALT,1999-12-31,1970276.0
DST:EVBPCT:VALRES=GYLD_IALT,2004-12-31,1894346.0
DST:EVBPCT:VALRES=GYLD_IALT,2009-12-31,2342128.0
DST:EVBPCT:VALRES=GYLD_IALT,2014-12-31,2276694.0
DST:EVBPCT:VALRES=GYLD_IALT,2019-12-31,2758855.0
DST:EVBPCT:VALRES=GYLD_IALT,2024-12-31,2447783.0
DST:EVBPCT:VALRES=UGYLD_IALT,1979-12-31,36426.0
DST:EVBPCT:VALRES=UGYLD_IALT,1984-12-31,23079.0
DST:EVBPCT:VALRES=UGYLD_IALT,1989-12-31,22163.0
DST:EVBPCT:VALRES=UGYLD_IALT,1994-12-31,33843.0
DST:EVBPCT:VALRES=UGYLD_IALT,1999-12-31,53030.0
DST:EVBPCT:VALRES=UGYLD_IALT,2004-12-31,27195.0
DST:EVBPCT:VALRES=UGYLD_IALT,2009-12-31,73440.0
DST:EVBPCT:VALRES=UGYLD_IALT,2014-12-31,55523.0
DST:EVBPCT:VALRES=UGYLD_IALT,2019-12-31,41174.0
DST:EVBPCT:VALRES=UGYLD_IALT,2024-12-31,57598.0
DST:EVBPCT:VALRES=VAELG,1979-12-31,3725235.0
DST:EVBPCT:VALRES=VAELG,1984-12-31,3843947.0
DST:EVBPCT:VALRES=VAELG,1989-12-31,3923549.0
DST:EVBPCT:VALRES=VAELG,1994-12-31,3994200.0
DST:EVBPCT:VALRES=VAELG,1999-12-31,4009594.0
DST:EVBPCT:VALRES=VAELG,2004-12-31,4012663.0
DST:EVBPCT:VALRES=VAELG,2009-12-31,4057100.0
DST:EVBPCT:VALRES=VAELG,2014-12-31,4141329.0
DST:EVBPCT:VALRES=VAELG,2019-12-31,4237550.0
DST:EVBPCT:VALRES=VAELG,2024-12-31,4301255.0
