series_id,obs_date,value
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2009-12-31,757.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2010-12-31,700.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2011-12-31,648.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2012-12-31,641.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2013-12-31,616.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2014-12-31,576.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2015-12-31,544.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2016-12-31,556.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2017-12-31,539.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2018-12-31,526.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2019-12-31,495.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2020-12-31,485.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2021-12-31,472.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2022-12-31,381.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2023-12-31,350.0
DST:FIREGN1:FARLAENGD=9:REGNSKPOSTER=Q100,2024-12-31,291.0
