series_id,obs_date,value
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2007-12-31,300.4
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2008-12-31,262.8
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2009-12-31,360.3
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2010-12-31,340.6
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2011-12-31,343.0
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2012-12-31,294.5
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2013-12-31,292.1
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2014-12-31,273.5
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2015-12-31,257.6
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2016-12-31,273.5
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2017-12-31,201.2
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2018-12-31,207.1
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2019-12-31,238.7
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2020-12-31,240.1
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2021-12-31,233.3
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2022-12-31,229.1
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2023-12-31,210.7
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2024-12-31,270.7
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2025-12-31,298.9
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=1,2026-12-31,241.0
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=2,2007-12-31,288.3
DST:FOUBUD1:FORSKFORMAAL=010:SEKTOR=1:BEVILLING1=2,2008-12-31,26.5
