series_id,obs_date,value
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=0,2022-12-31,1444.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=0,2023-12-31,1538.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=0,2024-12-31,909.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=0,2025-12-31,397.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=9,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=9,2023-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=9,2024-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=9,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=D,2022-12-31,998.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=D,2023-12-31,1045.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=D,2024-12-31,581.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=D,2025-12-31,244.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=P,2022-12-31,446.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=P,2023-12-31,493.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=P,2024-12-31,328.0
DST:HANDBU04:INDSATSER=001:ALDER=0005:KØN=P,2025-12-31,153.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=0,2022-12-31,493.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=0,2023-12-31,593.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=0,2024-12-31,657.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=0,2025-12-31,582.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=9,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=9,2023-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=9,2024-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=9,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=D,2022-12-31,345.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=D,2023-12-31,423.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=D,2024-12-31,487.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=D,2025-12-31,391.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=P,2022-12-31,148.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=P,2023-12-31,170.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=P,2024-12-31,170.0
DST:HANDBU04:INDSATSER=001:ALDER=0611:KØN=P,2025-12-31,191.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=0,2022-12-31,10.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=0,2023-12-31,10.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=0,2024-12-31,12.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=0,2025-12-31,12.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=9,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=9,2023-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=9,2024-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=9,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=D,2022-12-31,7.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=D,2023-12-31,7.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=D,2024-12-31,6.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=D,2025-12-31,6.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=P,2024-12-31,6.0
DST:HANDBU04:INDSATSER=001:ALDER=1217:KØN=P,2025-12-31,6.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=0,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=0,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=9,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=9,2023-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=9,2024-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=9,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=D,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=D,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=P,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=P,2023-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=P,2024-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=999:KØN=P,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=0,2022-12-31,1947.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=0,2023-12-31,2142.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=0,2024-12-31,1579.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=0,2025-12-31,991.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=9,2022-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=9,2023-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=9,2024-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=9,2025-12-31,0.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=D,2022-12-31,1350.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=D,2023-12-31,1476.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=D,2024-12-31,1075.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=D,2025-12-31,641.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=P,2022-12-31,597.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=P,2023-12-31,666.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=P,2024-12-31,504.0
DST:HANDBU04:INDSATSER=001:ALDER=IALT:KØN=P,2025-12-31,350.0
