series_id,obs_date,value
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2011-12-31,1532769.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2012-12-31,1596120.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2013-12-31,1608944.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2014-12-31,1613914.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2015-12-31,1646669.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2016-12-31,1645195.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2017-12-31,1732401.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2018-12-31,1716265.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2019-12-31,1777477.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2020-12-31,1916291.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2021-12-31,1918665.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2022-12-31,2054848.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2023-12-31,2036025.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2024-12-31,2123462.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=12,2025-12-31,2205014.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2011-12-31,514048.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2012-12-31,425094.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2013-12-31,478614.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2014-12-31,479360.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2015-12-31,774649.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2016-12-31,883852.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2017-12-31,817070.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2018-12-31,966497.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2019-12-31,809492.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2020-12-31,1052830.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2021-12-31,1102880.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2022-12-31,556697.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2023-12-31,1010940.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2024-12-31,1079093.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=3,2025-12-31,1414623.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2011-12-31,2046817.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2012-12-31,2021214.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2013-12-31,2087558.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2014-12-31,2093274.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2015-12-31,2421318.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2016-12-31,2529047.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2017-12-31,2549471.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2018-12-31,2682762.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2019-12-31,2586969.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2020-12-31,2969121.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2021-12-31,3021545.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2022-12-31,2611545.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2023-12-31,3046965.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2024-12-31,3202555.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03231:DRANST=TOT,2025-12-31,3619637.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2011-12-31,134371.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2012-12-31,171490.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2013-12-31,147357.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2014-12-31,145343.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2015-12-31,142751.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2016-12-31,165480.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2017-12-31,143011.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2018-12-31,170176.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2019-12-31,172695.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2020-12-31,120770.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2021-12-31,123725.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2022-12-31,120442.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2023-12-31,121270.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2024-12-31,114816.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=12,2025-12-31,129062.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2011-12-31,42176.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2012-12-31,76461.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2013-12-31,68692.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2014-12-31,52805.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2015-12-31,63626.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2016-12-31,44601.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2017-12-31,83235.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2018-12-31,153684.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2019-12-31,124775.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2020-12-31,89355.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2021-12-31,133723.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2022-12-31,129864.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2023-12-31,118246.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2024-12-31,124730.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=3,2025-12-31,53166.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2011-12-31,176547.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2012-12-31,247951.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2013-12-31,216049.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2014-12-31,198148.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2015-12-31,206377.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2016-12-31,210081.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2017-12-31,226246.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2018-12-31,323860.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2019-12-31,297470.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2020-12-31,210125.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2021-12-31,257448.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2022-12-31,250306.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2023-12-31,239516.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2024-12-31,239546.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=03235:DRANST=TOT,2025-12-31,182228.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=32218:DRANST=12,2011-12-31,639314.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=32218:DRANST=12,2012-12-31,661482.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=32218:DRANST=12,2013-12-31,685325.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=32218:DRANST=12,2014-12-31,703277.0
DST:IDRFIN01:OMRÅDE=000:FUNKTION=32218:DRANST=12,2015-12-31,725483.0
