series_id,obs_date,value
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2013-12-31,1421.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2014-12-31,1445.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2015-12-31,1487.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2016-12-31,1523.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2017-12-31,1612.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2018-12-31,1633.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2019-12-31,1658.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2020-12-31,1308.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2021-12-31,1565.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2022-12-31,2269.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2023-12-31,2750.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=45,2024-12-31,2960.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2013-12-31,7.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2014-12-31,12.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2015-12-31,7.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2016-12-31,11.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2017-12-31,9.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2018-12-31,6.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2019-12-31,8.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2020-12-31,7.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2021-12-31,9.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2022-12-31,9.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2023-12-31,9.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=46,2024-12-31,4.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2013-12-31,40.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2014-12-31,57.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2015-12-31,39.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2016-12-31,39.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2017-12-31,55.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2018-12-31,34.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2019-12-31,35.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2020-12-31,42.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2021-12-31,44.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2022-12-31,68.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2023-12-31,71.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=47,2024-12-31,76.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2013-12-31,1701.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2014-12-31,1692.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2015-12-31,1742.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2016-12-31,1794.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2017-12-31,1836.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2018-12-31,1883.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2019-12-31,1945.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2020-12-31,1934.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2021-12-31,1998.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2022-12-31,2256.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2023-12-31,2369.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=48,2024-12-31,2502.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2013-12-31,9901.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2014-12-31,9542.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2015-12-31,9873.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2016-12-31,10169.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2017-12-31,10303.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2018-12-31,10493.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2019-12-31,10835.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2020-12-31,9194.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2021-12-31,11264.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2022-12-31,12543.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2023-12-31,13360.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=49,2024-12-31,13239.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2013-12-31,4713.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2014-12-31,4638.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2015-12-31,4701.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2016-12-31,4796.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2017-12-31,4864.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2018-12-31,4900.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2019-12-31,4994.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2020-12-31,4762.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2021-12-31,4796.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2022-12-31,5385.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2023-12-31,5499.0
DST:IDROEKO1:BRANCHE07=931100:AKTP=50,2024-12-31,5614.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2013-12-31,2472.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2014-12-31,2582.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2015-12-31,2595.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2016-12-31,2851.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2017-12-31,2920.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2018-12-31,3242.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2019-12-31,3445.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2020-12-31,2702.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2021-12-31,3362.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2022-12-31,3716.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2023-12-31,4449.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=45,2024-12-31,4916.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2013-12-31,19.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2014-12-31,38.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2015-12-31,45.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2016-12-31,138.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2017-12-31,123.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2018-12-31,343.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2019-12-31,418.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2020-12-31,346.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2021-12-31,657.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2022-12-31,532.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2023-12-31,1043.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=46,2024-12-31,1162.0
DST:IDROEKO1:BRANCHE07=931200:AKTP=47,2013-12-31,33.0
