series_id,obs_date,value
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2005-12-31,12580.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2006-12-31,12946.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2007-12-31,12903.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2008-12-31,13459.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2009-12-31,14195.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2010-12-31,14460.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2011-12-31,14323.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2012-12-31,14494.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2013-12-31,14632.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2014-12-31,15519.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2015-12-31,16378.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2016-12-31,16859.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2017-12-31,15531.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2018-12-31,16204.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2019-12-31,15075.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2020-12-31,15829.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2021-12-31,15247.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2022-12-31,15099.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2023-12-31,15119.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2024-12-31,15800.0
DST:INST12:FSTATUS=T:INSTI=TOT:UDDANNELSE=TOT:HERKOMST=TOT:KØN=10,2025-12-31,15471.0
