series_id,obs_date,value
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4020,2022-12-31,357500.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4020,2024-12-31,387200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4030,2022-12-31,252300.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4030,2024-12-31,273100.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4040,2022-12-31,149600.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4040,2024-12-31,152200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4050,2022-12-31,403800.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4050,2024-12-31,428200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4060,2022-12-31,7.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4060,2024-12-31,6.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4070,2022-12-31,2025.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4000:ENHED=4070,2024-12-31,2064.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4020,2022-12-31,357500.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4020,2024-12-31,387200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4030,2022-12-31,252300.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4030,2024-12-31,273100.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4040,2022-12-31,149600.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4040,2024-12-31,152200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4050,2022-12-31,403800.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4050,2024-12-31,428200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4060,2022-12-31,7.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4060,2024-12-31,6.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4070,2022-12-31,2025.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=10:INDKOMSTTYPE=4010:ENHED=4070,2024-12-31,2064.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4020,2022-12-31,355200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4020,2024-12-31,416600.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4030,2022-12-31,272600.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4030,2024-12-31,297300.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4040,2022-12-31,154400.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4040,2024-12-31,164200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4050,2022-12-31,450200.0
DST:KUNST9B:KUNSTOMR=1000:VINDKOMST=3000:UDDNIV=20:INDKOMSTTYPE=4000:ENHED=4050,2024-12-31,481200.0
