series_id,obs_date,value
DST:LABY12:KOMGRP=000:ALDER=1802,2014-12-31,424030.0
DST:LABY12:KOMGRP=000:ALDER=1802,2015-12-31,457967.0
DST:LABY12:KOMGRP=000:ALDER=1802,2016-12-31,493166.0
DST:LABY12:KOMGRP=000:ALDER=1802,2017-12-31,531665.0
DST:LABY12:KOMGRP=000:ALDER=1802,2018-12-31,547467.0
DST:LABY12:KOMGRP=000:ALDER=1802,2019-12-31,611289.0
DST:LABY12:KOMGRP=000:ALDER=1802,2020-12-31,675175.0
DST:LABY12:KOMGRP=000:ALDER=1802,2021-12-31,751383.0
DST:LABY12:KOMGRP=000:ALDER=1802,2022-12-31,699472.0
DST:LABY12:KOMGRP=000:ALDER=1802,2023-12-31,738923.0
DST:LABY12:KOMGRP=000:ALDER=1802,2024-12-31,800815.0
DST:LABY12:KOMGRP=000:ALDER=1829,2014-12-31,21614.0
DST:LABY12:KOMGRP=000:ALDER=1829,2015-12-31,24495.0
DST:LABY12:KOMGRP=000:ALDER=1829,2016-12-31,26681.0
DST:LABY12:KOMGRP=000:ALDER=1829,2017-12-31,29600.0
DST:LABY12:KOMGRP=000:ALDER=1829,2018-12-31,32380.0
DST:LABY12:KOMGRP=000:ALDER=1829,2019-12-31,36472.0
DST:LABY12:KOMGRP=000:ALDER=1829,2020-12-31,51286.0
DST:LABY12:KOMGRP=000:ALDER=1829,2021-12-31,58168.0
DST:LABY12:KOMGRP=000:ALDER=1829,2022-12-31,56344.0
DST:LABY12:KOMGRP=000:ALDER=1829,2023-12-31,59223.0
DST:LABY12:KOMGRP=000:ALDER=1829,2024-12-31,66507.0
DST:LABY12:KOMGRP=000:ALDER=3039,2014-12-31,183744.0
DST:LABY12:KOMGRP=000:ALDER=3039,2015-12-31,209348.0
DST:LABY12:KOMGRP=000:ALDER=3039,2016-12-31,224452.0
DST:LABY12:KOMGRP=000:ALDER=3039,2017-12-31,242603.0
DST:LABY12:KOMGRP=000:ALDER=3039,2018-12-31,242735.0
DST:LABY12:KOMGRP=000:ALDER=3039,2019-12-31,267183.0
DST:LABY12:KOMGRP=000:ALDER=3039,2020-12-31,296129.0
DST:LABY12:KOMGRP=000:ALDER=3039,2021-12-31,334269.0
DST:LABY12:KOMGRP=000:ALDER=3039,2022-12-31,309386.0
