series_id,obs_date,value
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2012-12-31,417305.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2013-12-31,485412.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2014-12-31,555795.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2015-12-31,538751.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2016-12-31,543917.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2017-12-31,506260.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2018-12-31,403843.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2019-12-31,344143.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2020-12-31,232105.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2021-12-31,264920.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2022-12-31,336930.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2023-12-31,418352.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=081,2024-12-31,456595.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2012-12-31,1767428.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2013-12-31,1944304.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2014-12-31,2706426.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2015-12-31,2410076.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2016-12-31,2633731.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2017-12-31,4120395.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2018-12-31,3063642.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2019-12-31,3074075.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2020-12-31,3180054.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2021-12-31,3150808.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2022-12-31,3017326.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2023-12-31,3242829.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=082,2024-12-31,4295081.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2012-12-31,526886.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2013-12-31,724794.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2014-12-31,1097316.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2015-12-31,899783.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2016-12-31,1587337.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2017-12-31,1803952.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2018-12-31,1081279.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2019-12-31,1208720.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2020-12-31,979995.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2021-12-31,772165.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2022-12-31,1213369.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2023-12-31,1111302.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=083,2024-12-31,1230648.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2012-12-31,6461018.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2013-12-31,8640030.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2014-12-31,11335287.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2015-12-31,14551367.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2016-12-31,13755487.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2017-12-31,17334616.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2018-12-31,17139353.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2019-12-31,18188423.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2020-12-31,19436573.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2021-12-31,14543418.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2022-12-31,14371035.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2023-12-31,16632994.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=084,2024-12-31,23895598.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2012-12-31,189349.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2013-12-31,219074.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2014-12-31,439244.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2015-12-31,630655.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2016-12-31,750206.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2017-12-31,687081.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2018-12-31,465717.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2019-12-31,328864.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2020-12-31,256906.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2021-12-31,393036.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2022-12-31,425892.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2023-12-31,191203.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=085,2024-12-31,1135116.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2012-12-31,342126.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2013-12-31,313804.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2014-12-31,411230.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2015-12-31,361401.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2016-12-31,432496.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2017-12-31,436363.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2018-12-31,590037.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2019-12-31,718658.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2020-12-31,623820.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2021-12-31,791745.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2022-12-31,560989.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2023-12-31,1128408.0
DST:MUSIK4:KON=1:ALDER=2029:OMRÅDE=099,2024-12-31,1391657.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2012-12-31,775264.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2013-12-31,604270.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2014-12-31,798597.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2015-12-31,773272.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2016-12-31,615346.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2017-12-31,385594.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2018-12-31,436560.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2019-12-31,400318.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2020-12-31,415738.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2021-12-31,435346.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2022-12-31,542080.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2023-12-31,580835.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=081,2024-12-31,699358.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2012-12-31,4608833.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2013-12-31,4254045.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2014-12-31,5130111.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2015-12-31,4396938.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2016-12-31,3879187.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2017-12-31,3797694.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2018-12-31,4061469.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2019-12-31,4016066.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2020-12-31,3524291.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2021-12-31,3471753.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2022-12-31,3753137.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2023-12-31,3491701.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=082,2024-12-31,4362275.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2012-12-31,1879446.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2013-12-31,2169374.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2014-12-31,2699167.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2015-12-31,2224517.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2016-12-31,2149525.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2017-12-31,2262749.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2018-12-31,1401225.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2019-12-31,1654207.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2020-12-31,1313901.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2021-12-31,1319803.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2022-12-31,1529170.0
DST:MUSIK4:KON=1:ALDER=3039:OMRÅDE=083,2023-12-31,1360101.0
