series_id,obs_date,value
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1966-12-31,698336.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1967-12-31,726536.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1968-12-31,762773.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1969-12-31,812308.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1970-12-31,824012.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1971-12-31,853736.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1972-12-31,890732.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1973-12-31,917439.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1974-12-31,914501.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1975-12-31,895673.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1976-12-31,943125.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1977-12-31,961700.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1978-12-31,982827.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1979-12-31,1024154.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1980-12-31,1020133.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1981-12-31,1016419.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1982-12-31,1055067.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1983-12-31,1079640.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1984-12-31,1126689.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1985-12-31,1169174.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1986-12-31,1208541.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1987-12-31,1220488.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1988-12-31,1238635.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1989-12-31,1253349.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1990-12-31,1278387.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1991-12-31,1292603.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1992-12-31,1314850.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1993-12-31,1321858.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1994-12-31,1382529.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1995-12-31,1425849.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1996-12-31,1461807.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1997-12-31,1507433.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1998-12-31,1537079.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,1999-12-31,1588136.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,2000-12-31,1661631.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,2001-12-31,1678028.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,2002-12-31,1683190.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,2003-12-31,1690762.0
DST:NABP19:TRANSAKT=B1GD:BRANCHE=V:PRISENHED=LAN,2004-12-31,1726064.0
