series_id,obs_date,value
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,1995-12-31,28125.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,1996-12-31,54676.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,1997-12-31,55804.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,1998-12-31,37276.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,1999-12-31,75241.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2000-12-31,18920.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2001-12-31,64048.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2002-12-31,40377.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2003-12-31,52426.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2004-12-31,21468.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2005-12-31,43177.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2006-12-31,113688.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2007-12-31,92613.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2008-12-31,73603.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2009-12-31,-233888.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2010-12-31,25638.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2011-12-31,71501.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2012-12-31,79357.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2013-12-31,76313.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2014-12-31,68059.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2015-12-31,43604.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2016-12-31,90765.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2017-12-31,58349.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2018-12-31,87181.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2019-12-31,101790.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2020-12-31,117656.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2021-12-31,83241.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2022-12-31,455140.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2023-12-31,339803.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S1,2024-12-31,32657.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,1995-12-31,9665.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,1996-12-31,13724.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,1997-12-31,24264.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,1998-12-31,16092.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,1999-12-31,29377.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2000-12-31,15709.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2001-12-31,28451.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2002-12-31,19946.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2003-12-31,24223.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2004-12-31,22402.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2005-12-31,27457.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2006-12-31,46344.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2007-12-31,50892.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2008-12-31,36557.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2009-12-31,-35023.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2010-12-31,41410.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2011-12-31,23403.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2012-12-31,37391.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2013-12-31,32987.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2014-12-31,27234.0
DST:NASK:BEHOLD=K3A7:AKTIV=N111:SEKTOR=S11,2015-12-31,4338.0
