series_id,obs_date,value
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,1995-12-31,-48811.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,1996-12-31,-61620.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,1997-12-31,-49940.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,1998-12-31,-36457.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,1999-12-31,-74487.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2000-12-31,-89043.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2001-12-31,-97933.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2002-12-31,-96632.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2003-12-31,-97629.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2004-12-31,-85076.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2005-12-31,-85092.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2006-12-31,-66379.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2007-12-31,-47889.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2008-12-31,-62825.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2009-12-31,-79610.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2010-12-31,-123165.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2011-12-31,-113765.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2012-12-31,-109779.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2013-12-31,-120566.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2014-12-31,-127845.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2015-12-31,-131928.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2016-12-31,-126830.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2017-12-31,-141803.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2018-12-31,-115604.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2019-12-31,-138443.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2020-12-31,-131228.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2021-12-31,-155576.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2022-12-31,-269385.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2023-12-31,-251009.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2024-12-31,-299683.0
DST:NASO1:TRANSAKT=B11D:SEKTOR=S2,2025-12-31,-337267.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,1995-12-31,896752.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,1996-12-31,935686.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,1997-12-31,983183.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,1998-12-31,1009938.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,1999-12-31,1058978.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2000-12-31,1142218.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2001-12-31,1181874.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2002-12-31,1212912.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2003-12-31,1238162.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2004-12-31,1294993.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2005-12-31,1351793.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2006-12-31,1431976.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2007-12-31,1479816.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2008-12-31,1554406.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2009-12-31,1492610.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2010-12-31,1565161.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2011-12-31,1594904.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2012-12-31,1634282.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2013-12-31,1675418.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2014-12-31,1717820.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2015-12-31,1761019.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2016-12-31,1822909.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2017-12-31,1903818.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2018-12-31,1945815.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2019-12-31,2005035.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2020-12-31,2021320.0
DST:NASO1:TRANSAKT=B1GD:SEKTOR=S1,2021-12-31,2224247.0
