series_id,obs_date,value
DST:OEKO55:INDUD=0415:LAND=51,2003-12-31,239934.0
DST:OEKO55:INDUD=0415:LAND=51,2004-12-31,276065.0
DST:OEKO55:INDUD=0415:LAND=51,2005-12-31,366341.0
DST:OEKO55:INDUD=0415:LAND=51,2006-12-31,526280.0
DST:OEKO55:INDUD=0415:LAND=51,2007-12-31,734742.0
DST:OEKO55:INDUD=0415:LAND=51,2008-12-31,1257611.0
DST:OEKO55:INDUD=0415:LAND=51,2009-12-31,995887.0
DST:OEKO55:INDUD=0415:LAND=51,2010-12-31,1153109.0
DST:OEKO55:INDUD=0415:LAND=51,2011-12-31,1315555.0
DST:OEKO55:INDUD=0415:LAND=51,2012-12-31,1304860.0
DST:OEKO55:INDUD=0415:LAND=51,2013-12-31,1450608.0
DST:OEKO55:INDUD=0415:LAND=51,2014-12-31,1597210.0
DST:OEKO55:INDUD=0415:LAND=51,2015-12-31,2034986.0
DST:OEKO55:INDUD=0415:LAND=51,2016-12-31,2829247.0
DST:OEKO55:INDUD=0415:LAND=51,2017-12-31,3343288.0
DST:OEKO55:INDUD=0415:LAND=51,2018-12-31,3850301.0
DST:OEKO55:INDUD=0415:LAND=51,2019-12-31,4176559.0
DST:OEKO55:INDUD=0415:LAND=51,2020-12-31,4463712.0
DST:OEKO55:INDUD=0415:LAND=51,2021-12-31,4532709.0
DST:OEKO55:INDUD=0415:LAND=51,2022-12-31,4543099.0
DST:OEKO55:INDUD=0415:LAND=51,2023-12-31,4532002.0
DST:OEKO55:INDUD=0415:LAND=51,2024-12-31,3833847.0
DST:OEKO55:INDUD=0415:LAND=52,2003-12-31,2468.0
DST:OEKO55:INDUD=0415:LAND=52,2004-12-31,690.0
DST:OEKO55:INDUD=0415:LAND=52,2005-12-31,1768.0
DST:OEKO55:INDUD=0415:LAND=52,2006-12-31,3507.0
DST:OEKO55:INDUD=0415:LAND=52,2007-12-31,3674.0
DST:OEKO55:INDUD=0415:LAND=52,2008-12-31,7695.0
DST:OEKO55:INDUD=0415:LAND=52,2009-12-31,5904.0
DST:OEKO55:INDUD=0415:LAND=52,2010-12-31,10897.0
DST:OEKO55:INDUD=0415:LAND=52,2011-12-31,11418.0
DST:OEKO55:INDUD=0415:LAND=52,2012-12-31,8889.0
DST:OEKO55:INDUD=0415:LAND=52,2013-12-31,11955.0
DST:OEKO55:INDUD=0415:LAND=52,2014-12-31,9421.0
DST:OEKO55:INDUD=0415:LAND=52,2015-12-31,19540.0
DST:OEKO55:INDUD=0415:LAND=52,2016-12-31,17756.0
DST:OEKO55:INDUD=0415:LAND=52,2017-12-31,33870.0
DST:OEKO55:INDUD=0415:LAND=52,2018-12-31,29837.0
DST:OEKO55:INDUD=0415:LAND=52,2019-12-31,37044.0
DST:OEKO55:INDUD=0415:LAND=52,2020-12-31,47996.0
DST:OEKO55:INDUD=0415:LAND=52,2021-12-31,52679.0
