series_id,obs_date,value
DST:PHD1:HOMR=1:KOEN=K,1996-12-31,78.0
DST:PHD1:HOMR=1:KOEN=K,1997-12-31,79.0
DST:PHD1:HOMR=1:KOEN=K,1998-12-31,79.0
DST:PHD1:HOMR=1:KOEN=K,1999-12-31,65.0
DST:PHD1:HOMR=1:KOEN=K,2000-12-31,64.0
DST:PHD1:HOMR=1:KOEN=K,2001-12-31,82.0
DST:PHD1:HOMR=1:KOEN=K,2002-12-31,57.0
DST:PHD1:HOMR=1:KOEN=K,2003-12-31,74.0
DST:PHD1:HOMR=1:KOEN=K,2004-12-31,74.0
DST:PHD1:HOMR=1:KOEN=K,2005-12-31,89.0
DST:PHD1:HOMR=1:KOEN=K,2006-12-31,111.0
DST:PHD1:HOMR=1:KOEN=K,2007-12-31,146.0
DST:PHD1:HOMR=1:KOEN=K,2008-12-31,150.0
DST:PHD1:HOMR=1:KOEN=K,2009-12-31,137.0
DST:PHD1:HOMR=1:KOEN=K,2010-12-31,171.0
DST:PHD1:HOMR=1:KOEN=K,2011-12-31,164.0
DST:PHD1:HOMR=1:KOEN=K,2012-12-31,165.0
DST:PHD1:HOMR=1:KOEN=K,2013-12-31,160.0
DST:PHD1:HOMR=1:KOEN=K,2014-12-31,139.0
DST:PHD1:HOMR=1:KOEN=K,2015-12-31,149.0
DST:PHD1:HOMR=1:KOEN=K,2016-12-31,158.0
DST:PHD1:HOMR=1:KOEN=K,2017-12-31,169.0
DST:PHD1:HOMR=1:KOEN=K,2018-12-31,141.0
DST:PHD1:HOMR=1:KOEN=K,2019-12-31,81.0
DST:PHD1:HOMR=1:KOEN=K,2020-12-31,166.0
DST:PHD1:HOMR=1:KOEN=K,2021-12-31,216.0
DST:PHD1:HOMR=1:KOEN=K,2022-12-31,219.0
DST:PHD1:HOMR=1:KOEN=K,2023-12-31,214.0
DST:PHD1:HOMR=1:KOEN=K,2024-12-31,203.0
DST:PHD1:HOMR=1:KOEN=M,1996-12-31,151.0
DST:PHD1:HOMR=1:KOEN=M,1997-12-31,159.0
DST:PHD1:HOMR=1:KOEN=M,1998-12-31,147.0
DST:PHD1:HOMR=1:KOEN=M,1999-12-31,157.0
DST:PHD1:HOMR=1:KOEN=M,2000-12-31,140.0
DST:PHD1:HOMR=1:KOEN=M,2001-12-31,143.0
DST:PHD1:HOMR=1:KOEN=M,2002-12-31,122.0
DST:PHD1:HOMR=1:KOEN=M,2003-12-31,147.0
DST:PHD1:HOMR=1:KOEN=M,2004-12-31,137.0
DST:PHD1:HOMR=1:KOEN=M,2005-12-31,147.0
DST:PHD1:HOMR=1:KOEN=M,2006-12-31,163.0
DST:PHD1:HOMR=1:KOEN=M,2007-12-31,212.0
DST:PHD1:HOMR=1:KOEN=M,2008-12-31,229.0
DST:PHD1:HOMR=1:KOEN=M,2009-12-31,221.0
DST:PHD1:HOMR=1:KOEN=M,2010-12-31,273.0
DST:PHD1:HOMR=1:KOEN=M,2011-12-31,277.0
DST:PHD1:HOMR=1:KOEN=M,2012-12-31,241.0
DST:PHD1:HOMR=1:KOEN=M,2013-12-31,248.0
DST:PHD1:HOMR=1:KOEN=M,2014-12-31,255.0
DST:PHD1:HOMR=1:KOEN=M,2015-12-31,258.0
DST:PHD1:HOMR=1:KOEN=M,2016-12-31,200.0
DST:PHD1:HOMR=1:KOEN=M,2017-12-31,224.0
DST:PHD1:HOMR=1:KOEN=M,2018-12-31,235.0
DST:PHD1:HOMR=1:KOEN=M,2019-12-31,125.0
DST:PHD1:HOMR=1:KOEN=M,2020-12-31,269.0
DST:PHD1:HOMR=1:KOEN=M,2021-12-31,259.0
DST:PHD1:HOMR=1:KOEN=M,2022-12-31,279.0
DST:PHD1:HOMR=1:KOEN=M,2023-12-31,263.0
DST:PHD1:HOMR=1:KOEN=M,2024-12-31,275.0
DST:PHD1:HOMR=1:KOEN=TOT,1996-12-31,229.0
DST:PHD1:HOMR=1:KOEN=TOT,1997-12-31,238.0
DST:PHD1:HOMR=1:KOEN=TOT,1998-12-31,226.0
DST:PHD1:HOMR=1:KOEN=TOT,1999-12-31,222.0
DST:PHD1:HOMR=1:KOEN=TOT,2000-12-31,204.0
DST:PHD1:HOMR=1:KOEN=TOT,2001-12-31,225.0
DST:PHD1:HOMR=1:KOEN=TOT,2002-12-31,179.0
DST:PHD1:HOMR=1:KOEN=TOT,2003-12-31,221.0
DST:PHD1:HOMR=1:KOEN=TOT,2004-12-31,211.0
DST:PHD1:HOMR=1:KOEN=TOT,2005-12-31,236.0
DST:PHD1:HOMR=1:KOEN=TOT,2006-12-31,274.0
DST:PHD1:HOMR=1:KOEN=TOT,2007-12-31,358.0
DST:PHD1:HOMR=1:KOEN=TOT,2008-12-31,379.0
DST:PHD1:HOMR=1:KOEN=TOT,2009-12-31,358.0
DST:PHD1:HOMR=1:KOEN=TOT,2010-12-31,444.0
DST:PHD1:HOMR=1:KOEN=TOT,2011-12-31,441.0
DST:PHD1:HOMR=1:KOEN=TOT,2012-12-31,406.0
DST:PHD1:HOMR=1:KOEN=TOT,2013-12-31,408.0
DST:PHD1:HOMR=1:KOEN=TOT,2014-12-31,394.0
DST:PHD1:HOMR=1:KOEN=TOT,2015-12-31,407.0
DST:PHD1:HOMR=1:KOEN=TOT,2016-12-31,358.0
DST:PHD1:HOMR=1:KOEN=TOT,2017-12-31,393.0
DST:PHD1:HOMR=1:KOEN=TOT,2018-12-31,376.0
DST:PHD1:HOMR=1:KOEN=TOT,2019-12-31,206.0
DST:PHD1:HOMR=1:KOEN=TOT,2020-12-31,435.0
DST:PHD1:HOMR=1:KOEN=TOT,2021-12-31,475.0
DST:PHD1:HOMR=1:KOEN=TOT,2022-12-31,498.0
DST:PHD1:HOMR=1:KOEN=TOT,2023-12-31,477.0
DST:PHD1:HOMR=1:KOEN=TOT,2024-12-31,478.0
