series_id,obs_date,value
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2008-12-31,13799.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2009-12-31,9511.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2010-12-31,9001.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2011-12-31,10175.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2012-12-31,10377.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2013-12-31,11801.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2014-12-31,13456.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2015-12-31,14746.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2016-12-31,15495.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2017-12-31,16213.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2018-12-31,16757.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2019-12-31,15815.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2020-12-31,13392.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2021-12-31,17927.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2022-12-31,22276.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2023-12-31,22124.0
DST:RAS206:OPRINDLAND=TOT:OPHTID=1:SOCIO=00:KON=M:ALDER=1664,2024-12-31,22148.0
