series_id,obs_date,value
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARE,2019-12-31,6518.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARE,2020-12-31,131.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARE,2021-12-31,4588.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARE,2022-12-31,10167.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARE,2023-12-31,2092.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARE,2024-12-31,4169.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARSV,2019-12-31,1564.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARSV,2020-12-31,1313.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARSV,2021-12-31,1186.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARSV,2022-12-31,1142.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARSV,2023-12-31,1106.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AARSV,2024-12-31,1079.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AAT,2019-12-31,48066.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AAT,2020-12-31,47011.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AAT,2021-12-31,56952.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AAT,2022-12-31,65385.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AAT,2023-12-31,56655.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AAT,2024-12-31,59080.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADR,2019-12-31,522.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADR,2020-12-31,1054.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADR,2021-12-31,1660.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADR,2022-12-31,1748.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADR,2023-12-31,475.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADR,2024-12-31,481.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADRT,2019-12-31,1.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADRT,2020-12-31,403.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADRT,2021-12-31,8.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADRT,2022-12-31,289.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADRT,2023-12-31,0.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ADRT,2024-12-31,0.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AFAT,2019-12-31,1.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AFAT,2020-12-31,403.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AFAT,2021-12-31,8.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AFAT,2022-12-31,289.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AFAT,2023-12-31,66.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AFAT,2024-12-31,60.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AIAA,2019-12-31,0.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AIAA,2020-12-31,0.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AIAA,2021-12-31,0.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AIAA,2022-12-31,0.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AIAA,2023-12-31,66.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AIAA,2024-12-31,59.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AKG,2019-12-31,15402.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AKG,2020-12-31,14344.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AKG,2021-12-31,3777.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AKG,2022-12-31,11258.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AKG,2023-12-31,3953.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=AKG,2024-12-31,4170.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ANTFIR,2019-12-31,23.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ANTFIR,2020-12-31,22.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ANTFIR,2021-12-31,18.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ANTFIR,2022-12-31,12.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ANTFIR,2023-12-31,10.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ANTFIR,2024-12-31,15.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATAM,2019-12-31,19884.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATAM,2020-12-31,16603.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATAM,2021-12-31,10105.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATAM,2022-12-31,10381.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATAM,2023-12-31,11945.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATAM,2024-12-31,109.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATIT,2019-12-31,14154.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATIT,2020-12-31,5269.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATIT,2021-12-31,7198.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATIT,2022-12-31,4901.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATIT,2023-12-31,6157.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=ATIT,2024-12-31,5886.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=BESK,2019-12-31,1564.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=BESK,2020-12-31,1313.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=BESK,2021-12-31,1186.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=BESK,2022-12-31,1142.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=BESK,2023-12-31,1106.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=BESK,2024-12-31,1079.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=DTAM,2019-12-31,8664.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=DTAM,2020-12-31,681.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=DTAM,2021-12-31,3712.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=DTAM,2022-12-31,1810.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=DTAM,2023-12-31,1285.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=DTAM,2024-12-31,4953.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=EGUL,2019-12-31,27421.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=EGUL,2020-12-31,26389.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=EGUL,2021-12-31,29504.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=EGUL,2022-12-31,44309.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=EGUL,2023-12-31,40527.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=EGUL,2024-12-31,66488.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=FAAT,2019-12-31,20348.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=FAAT,2020-12-31,19732.0
DST:REGN10:ERHVERV=06000:REGNSKPOSTER=FAAT,2021-12-31,23600.0
