series_id,obs_date,value
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2005-12-31,169001.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2006-12-31,170496.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2007-12-31,724708.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2008-12-31,720438.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2009-12-31,717605.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2010-12-31,712000.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2011-12-31,715255.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2012-12-31,718488.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2013-12-31,715265.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2014-12-31,717399.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2015-12-31,718900.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2016-12-31,720153.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2017-12-31,716664.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2018-12-31,710076.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2019-12-31,701690.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2020-12-31,691433.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2021-12-31,685969.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2022-12-31,693364.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2023-12-31,686474.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2024-12-31,679870.0
DST:UDDAKT20:UDDANNELSE=TOT:ALDER=TOT:HERKOMST=TOT:HERKOMST1=TOT:KØN=10:GRUNDSKOL=0000:BOPOMR=000:FSTATUS=T,2025-12-31,679612.0
