series_id,obs_date,value
EDGAR:CO:KOR,1970-12-31,1031.7736949764
EDGAR:CO:KOR,1971-12-31,1025.1603036802
EDGAR:CO:KOR,1972-12-31,1058.1411616777
EDGAR:CO:KOR,1973-12-31,1317.0651149083
EDGAR:CO:KOR,1974-12-31,1436.1344790847
EDGAR:CO:KOR,1975-12-31,1480.7867482064
EDGAR:CO:KOR,1976-12-31,1627.3377599326
EDGAR:CO:KOR,1977-12-31,1766.3130833182
EDGAR:CO:KOR,1978-12-31,1926.6947755531
EDGAR:CO:KOR,1979-12-31,2142.2599525176
EDGAR:CO:KOR,1980-12-31,2163.8132545621
EDGAR:CO:KOR,1981-12-31,2393.0548862324
EDGAR:CO:KOR,1982-12-31,2265.2924973633
EDGAR:CO:KOR,1983-12-31,2422.4212537639
EDGAR:CO:KOR,1984-12-31,2699.4666991024
EDGAR:CO:KOR,1985-12-31,2897.9308949055
EDGAR:CO:KOR,1986-12-31,3057.6303954846
EDGAR:CO:KOR,1987-12-31,3160.2324129581
EDGAR:CO:KOR,1988-12-31,3297.2627783659
EDGAR:CO:KOR,1989-12-31,3245.8779795165
EDGAR:CO:KOR,1990-12-31,3395.9419650127
EDGAR:CO:KOR,1991-12-31,3214.338489549
EDGAR:CO:KOR,1992-12-31,3010.0971970098
EDGAR:CO:KOR,1993-12-31,2955.5034105533
EDGAR:CO:KOR,1994-12-31,2779.1972117263
EDGAR:CO:KOR,1995-12-31,2779.6194580331
EDGAR:CO:KOR,1996-12-31,2836.659868761
EDGAR:CO:KOR,1997-12-31,2813.8895780112
EDGAR:CO:KOR,1998-12-31,2506.5805338753
EDGAR:CO:KOR,1999-12-31,2569.384428178
EDGAR:CO:KOR,2000-12-31,2682.5991267635
EDGAR:CO:KOR,2001-12-31,2718.6704169952
EDGAR:CO:KOR,2002-12-31,2639.2123080203
EDGAR:CO:KOR,2003-12-31,2556.962606727
EDGAR:CO:KOR,2004-12-31,2559.1256381979
EDGAR:CO:KOR,2005-12-31,2471.7349643014
EDGAR:CO:KOR,2006-12-31,2514.8414363063
EDGAR:CO:KOR,2007-12-31,2585.1411315112
EDGAR:CO:KOR,2008-12-31,2702.3412611406
EDGAR:CO:KOR,2009-12-31,2485.3363207838
EDGAR:CO:KOR,2010-12-31,2811.0245081703
EDGAR:CO:KOR,2011-12-31,3033.4989058053
EDGAR:CO:KOR,2012-12-31,2979.108978048
EDGAR:CO:KOR,2013-12-31,2986.3848086528
EDGAR:CO:KOR,2014-12-31,3094.7016927501
EDGAR:CO:KOR,2015-12-31,3219.7374826413
EDGAR:CO:KOR,2016-12-31,3014.8373596022
EDGAR:CO:KOR,2017-12-31,3002.4760378078
EDGAR:CO:KOR,2018-12-31,3060.8426687469
EDGAR:CO:KOR,2019-12-31,2906.3092164343
EDGAR:CO:KOR,2020-12-31,2756.311675573
EDGAR:CO:KOR,2021-12-31,2858.2428461046
EDGAR:CO:KOR,2022-12-31,2760.9761613607
