series_id,obs_date,value
EDGAR:CO2:AUT,1970-12-31,53004.529759871
EDGAR:CO2:AUT,1971-12-31,55670.322590422
EDGAR:CO2:AUT,1972-12-31,57882.966595752
EDGAR:CO2:AUT,1973-12-31,61192.632537638
EDGAR:CO2:AUT,1974-12-31,58703.95117066
EDGAR:CO2:AUT,1975-12-31,56378.806907964
EDGAR:CO2:AUT,1976-12-31,61715.159905929
EDGAR:CO2:AUT,1977-12-31,59002.199093713
EDGAR:CO2:AUT,1978-12-31,60905.028972708
EDGAR:CO2:AUT,1979-12-31,63345.043809147
EDGAR:CO2:AUT,1980-12-31,61489.766364842
EDGAR:CO2:AUT,1981-12-31,58028.497549452
EDGAR:CO2:AUT,1982-12-31,55872.891671776
EDGAR:CO2:AUT,1983-12-31,55888.513112319
EDGAR:CO2:AUT,1984-12-31,57695.593818328
EDGAR:CO2:AUT,1985-12-31,59167.346522094
EDGAR:CO2:AUT,1986-12-31,57959.010128447
EDGAR:CO2:AUT,1987-12-31,58543.543657316
EDGAR:CO2:AUT,1988-12-31,57146.696051841
EDGAR:CO2:AUT,1989-12-31,57150.066904142
EDGAR:CO2:AUT,1990-12-31,61563.956455083
EDGAR:CO2:AUT,1991-12-31,65502.483554148
EDGAR:CO2:AUT,1992-12-31,60510.772082915
EDGAR:CO2:AUT,1993-12-31,60567.197652008
EDGAR:CO2:AUT,1994-12-31,61091.846314712
EDGAR:CO2:AUT,1995-12-31,64056.88151397
EDGAR:CO2:AUT,1996-12-31,67976.280175976
EDGAR:CO2:AUT,1997-12-31,67530.052014455
EDGAR:CO2:AUT,1998-12-31,68094.42148167
EDGAR:CO2:AUT,1999-12-31,66225.71326089
EDGAR:CO2:AUT,2000-12-31,66694.614720715
EDGAR:CO2:AUT,2001-12-31,71372.242800558
EDGAR:CO2:AUT,2002-12-31,73219.360076787
EDGAR:CO2:AUT,2003-12-31,78169.285958023
EDGAR:CO2:AUT,2004-12-31,79608.734323084
EDGAR:CO2:AUT,2005-12-31,80413.742662266
EDGAR:CO2:AUT,2006-12-31,78271.710662711
EDGAR:CO2:AUT,2007-12-31,75442.11323864
EDGAR:CO2:AUT,2008-12-31,75241.539061417
EDGAR:CO2:AUT,2009-12-31,68060.210022866
EDGAR:CO2:AUT,2010-12-31,73799.842115677
EDGAR:CO2:AUT,2011-12-31,72187.167794719
EDGAR:CO2:AUT,2012-12-31,69020.732681035
EDGAR:CO2:AUT,2013-12-31,69608.836617243
EDGAR:CO2:AUT,2014-12-31,65926.195592554
EDGAR:CO2:AUT,2015-12-31,67363.214878035
EDGAR:CO2:AUT,2016-12-31,67774.546549896
EDGAR:CO2:AUT,2017-12-31,70085.082578167
EDGAR:CO2:AUT,2018-12-31,67250.779526349
EDGAR:CO2:AUT,2019-12-31,68776.683333374
EDGAR:CO2:AUT,2020-12-31,62916.153054574
EDGAR:CO2:AUT,2021-12-31,66203.36048465
EDGAR:CO2:AUT,2022-12-31,62647.180523681
EDGAR:CO2:AUT,2023-12-31,58476.120923909
EDGAR:CO2:AUT,2024-12-31,58030.403747189
