series_id,obs_date,value
EDGAR:CO2:FJI,1970-12-31,711.67957879964
EDGAR:CO2:FJI,1971-12-31,720.62002852838
EDGAR:CO2:FJI,1972-12-31,768.9874894986
EDGAR:CO2:FJI,1973-12-31,915.22211714775
EDGAR:CO2:FJI,1974-12-31,1106.9951326103
EDGAR:CO2:FJI,1975-12-31,919.95386359792
EDGAR:CO2:FJI,1976-12-31,905.18688460723
EDGAR:CO2:FJI,1977-12-31,959.40039887538
EDGAR:CO2:FJI,1978-12-31,958.05243388463
EDGAR:CO2:FJI,1979-12-31,1026.0081976878
EDGAR:CO2:FJI,1980-12-31,1100.8355456276
EDGAR:CO2:FJI,1981-12-31,1123.7192507671
EDGAR:CO2:FJI,1982-12-31,1094.1934539589
EDGAR:CO2:FJI,1983-12-31,905.07884796412
EDGAR:CO2:FJI,1984-12-31,754.62688621987
EDGAR:CO2:FJI,1985-12-31,845.04772498327
EDGAR:CO2:FJI,1986-12-31,868.42760762688
EDGAR:CO2:FJI,1987-12-31,788.42161491581
EDGAR:CO2:FJI,1988-12-31,777.94462002767
EDGAR:CO2:FJI,1989-12-31,900.60545854379
EDGAR:CO2:FJI,1990-12-31,1008.2300931111
EDGAR:CO2:FJI,1991-12-31,885.99210995158
EDGAR:CO2:FJI,1992-12-31,992.93515424316
EDGAR:CO2:FJI,1993-12-31,1073.2077679753
EDGAR:CO2:FJI,1994-12-31,1122.5189767512
EDGAR:CO2:FJI,1995-12-31,1112.6493150214
EDGAR:CO2:FJI,1996-12-31,1164.1741414717
EDGAR:CO2:FJI,1997-12-31,1202.5542569594
EDGAR:CO2:FJI,1998-12-31,1192.0930818938
EDGAR:CO2:FJI,1999-12-31,1275.6962862074
EDGAR:CO2:FJI,2000-12-31,1443.3179102337
EDGAR:CO2:FJI,2001-12-31,1563.6307356729
EDGAR:CO2:FJI,2002-12-31,1293.7907292408
EDGAR:CO2:FJI,2003-12-31,1525.3267668733
EDGAR:CO2:FJI,2004-12-31,1978.9860368438
EDGAR:CO2:FJI,2005-12-31,1730.839299529
EDGAR:CO2:FJI,2006-12-31,1860.758130485
EDGAR:CO2:FJI,2007-12-31,1724.0543885611
EDGAR:CO2:FJI,2008-12-31,1291.7472399268
EDGAR:CO2:FJI,2009-12-31,1063.5420048418
EDGAR:CO2:FJI,2010-12-31,1696.5259055542
EDGAR:CO2:FJI,2011-12-31,1245.4424710215
EDGAR:CO2:FJI,2012-12-31,1205.1615421277
EDGAR:CO2:FJI,2013-12-31,1373.1142101002
EDGAR:CO2:FJI,2014-12-31,1559.8735531922
EDGAR:CO2:FJI,2015-12-31,1617.1970696514
EDGAR:CO2:FJI,2016-12-31,1592.4715576207
EDGAR:CO2:FJI,2017-12-31,1540.5649323188
EDGAR:CO2:FJI,2018-12-31,1654.9158989944
EDGAR:CO2:FJI,2019-12-31,1618.9527277421
EDGAR:CO2:FJI,2020-12-31,1074.317924088
EDGAR:CO2:FJI,2021-12-31,1342.6985758698
EDGAR:CO2:FJI,2022-12-31,1434.3250001124
EDGAR:CO2:FJI,2023-12-31,1437.8002112114
EDGAR:CO2:FJI,2024-12-31,1506.6707448211
