series_id,obs_date,value
EDGAR:CO2:LTU,1970-12-31,19928.249414314
EDGAR:CO2:LTU,1971-12-31,19993.54818005
EDGAR:CO2:LTU,1972-12-31,21307.173339305
EDGAR:CO2:LTU,1973-12-31,22896.393095337
EDGAR:CO2:LTU,1974-12-31,24491.173914043
EDGAR:CO2:LTU,1975-12-31,26119.346334454
EDGAR:CO2:LTU,1976-12-31,27264.305393744
EDGAR:CO2:LTU,1977-12-31,28230.477737868
EDGAR:CO2:LTU,1978-12-31,29329.179312158
EDGAR:CO2:LTU,1979-12-31,30316.355583824
EDGAR:CO2:LTU,1980-12-31,31588.480803382
EDGAR:CO2:LTU,1981-12-31,31916.624744244
EDGAR:CO2:LTU,1982-12-31,32030.602634507
EDGAR:CO2:LTU,1983-12-31,32194.577019584
EDGAR:CO2:LTU,1984-12-31,32784.729911009
EDGAR:CO2:LTU,1985-12-31,32752.350878115
EDGAR:CO2:LTU,1986-12-31,33281.25159857
EDGAR:CO2:LTU,1987-12-31,33628.058020309
EDGAR:CO2:LTU,1988-12-31,33610.111994596
EDGAR:CO2:LTU,1989-12-31,33131.13114112
EDGAR:CO2:LTU,1990-12-31,35122.304375368
EDGAR:CO2:LTU,1991-12-31,36976.581546307
EDGAR:CO2:LTU,1992-12-31,20888.372875646
EDGAR:CO2:LTU,1993-12-31,16218.150078421
EDGAR:CO2:LTU,1994-12-31,15734.442932603
EDGAR:CO2:LTU,1995-12-31,15116.964797725
EDGAR:CO2:LTU,1996-12-31,15597.476459601
EDGAR:CO2:LTU,1997-12-31,15066.750905765
EDGAR:CO2:LTU,1998-12-31,15924.766100245
EDGAR:CO2:LTU,1999-12-31,13331.697912192
EDGAR:CO2:LTU,2000-12-31,11656.650702859
EDGAR:CO2:LTU,2001-12-31,12391.319058953
EDGAR:CO2:LTU,2002-12-31,12470.651211393
EDGAR:CO2:LTU,2003-12-31,12492.443470206
EDGAR:CO2:LTU,2004-12-31,13065.867243194
EDGAR:CO2:LTU,2005-12-31,13957.917999745
EDGAR:CO2:LTU,2006-12-31,14194.075339742
EDGAR:CO2:LTU,2007-12-31,15568.362166361
EDGAR:CO2:LTU,2008-12-31,15831.299653222
EDGAR:CO2:LTU,2009-12-31,13210.457075749
EDGAR:CO2:LTU,2010-12-31,14041.03122085
EDGAR:CO2:LTU,2011-12-31,14320.272939554
EDGAR:CO2:LTU,2012-12-31,14491.121262429
EDGAR:CO2:LTU,2013-12-31,13364.354885378
EDGAR:CO2:LTU,2014-12-31,13211.681901525
EDGAR:CO2:LTU,2015-12-31,13660.647960636
EDGAR:CO2:LTU,2016-12-31,13520.218202006
EDGAR:CO2:LTU,2017-12-31,13964.213960517
EDGAR:CO2:LTU,2018-12-31,14018.39026167
EDGAR:CO2:LTU,2019-12-31,14296.513669189
EDGAR:CO2:LTU,2020-12-31,14254.148667775
EDGAR:CO2:LTU,2021-12-31,14331.806012568
EDGAR:CO2:LTU,2022-12-31,13170.273909648
EDGAR:CO2:LTU,2023-12-31,12979.427056022
EDGAR:CO2:LTU,2024-12-31,12969.974740674
