series_id,obs_date,value
EDGAR:CO2:MDA,1970-12-31,19286.710989891
EDGAR:CO2:MDA,1971-12-31,19303.677178996
EDGAR:CO2:MDA,1972-12-31,20419.71218658
EDGAR:CO2:MDA,1973-12-31,21750.377918135
EDGAR:CO2:MDA,1974-12-31,22967.076005476
EDGAR:CO2:MDA,1975-12-31,24643.400161657
EDGAR:CO2:MDA,1976-12-31,25473.655999543
EDGAR:CO2:MDA,1977-12-31,26063.774391338
EDGAR:CO2:MDA,1978-12-31,27050.718289834
EDGAR:CO2:MDA,1979-12-31,27710.66403888
EDGAR:CO2:MDA,1980-12-31,28829.520939048
EDGAR:CO2:MDA,1981-12-31,28767.476661601
EDGAR:CO2:MDA,1982-12-31,29083.389589238
EDGAR:CO2:MDA,1983-12-31,29307.888422203
EDGAR:CO2:MDA,1984-12-31,29552.074673024
EDGAR:CO2:MDA,1985-12-31,29763.118271952
EDGAR:CO2:MDA,1986-12-31,30594.336399676
EDGAR:CO2:MDA,1987-12-31,31321.523874022
EDGAR:CO2:MDA,1988-12-31,31532.126092131
EDGAR:CO2:MDA,1989-12-31,31354.595374877
EDGAR:CO2:MDA,1990-12-31,31817.128339162
EDGAR:CO2:MDA,1991-12-31,25652.550012159
EDGAR:CO2:MDA,1992-12-31,20407.771802482
EDGAR:CO2:MDA,1993-12-31,17363.097897219
EDGAR:CO2:MDA,1994-12-31,14083.092234543
EDGAR:CO2:MDA,1995-12-31,12261.546072772
EDGAR:CO2:MDA,1996-12-31,10561.981365685
EDGAR:CO2:MDA,1997-12-31,9632.6656584385
EDGAR:CO2:MDA,1998-12-31,8787.9426725104
EDGAR:CO2:MDA,1999-12-31,7449.6176553707
EDGAR:CO2:MDA,2000-12-31,6895.6190648556
EDGAR:CO2:MDA,2001-12-31,7181.7268108611
EDGAR:CO2:MDA,2002-12-31,7309.3011925277
EDGAR:CO2:MDA,2003-12-31,7870.8125553165
EDGAR:CO2:MDA,2004-12-31,7891.7017454522
EDGAR:CO2:MDA,2005-12-31,8331.0847598716
EDGAR:CO2:MDA,2006-12-31,8111.9712664185
EDGAR:CO2:MDA,2007-12-31,8025.5651346424
EDGAR:CO2:MDA,2008-12-31,7927.5489168985
EDGAR:CO2:MDA,2009-12-31,7807.9857048272
EDGAR:CO2:MDA,2010-12-31,8504.8530390493
EDGAR:CO2:MDA,2011-12-31,8534.7772624591
EDGAR:CO2:MDA,2012-12-31,8352.8298385677
EDGAR:CO2:MDA,2013-12-31,7494.1389239573
EDGAR:CO2:MDA,2014-12-31,8040.8884007103
EDGAR:CO2:MDA,2015-12-31,8299.2389771478
EDGAR:CO2:MDA,2016-12-31,8423.3502587151
EDGAR:CO2:MDA,2017-12-31,8305.8315354587
EDGAR:CO2:MDA,2018-12-31,8862.4443135191
EDGAR:CO2:MDA,2019-12-31,9110.0674091681
EDGAR:CO2:MDA,2020-12-31,8848.4422811003
EDGAR:CO2:MDA,2021-12-31,9652.6652591215
EDGAR:CO2:MDA,2022-12-31,8288.1770180308
EDGAR:CO2:MDA,2023-12-31,8207.4467343363
EDGAR:CO2:MDA,2024-12-31,8208.088258707
