series_id,obs_date,value
EDGAR:CO2:MOZ,1970-12-31,3158.1610031591
EDGAR:CO2:MOZ,1971-12-31,3170.5420327747
EDGAR:CO2:MOZ,1972-12-31,2915.662650018
EDGAR:CO2:MOZ,1973-12-31,3102.9256432732
EDGAR:CO2:MOZ,1974-12-31,2930.3301199207
EDGAR:CO2:MOZ,1975-12-31,2530.6912337503
EDGAR:CO2:MOZ,1976-12-31,2568.2537696982
EDGAR:CO2:MOZ,1977-12-31,2496.3919640572
EDGAR:CO2:MOZ,1978-12-31,2179.2507903904
EDGAR:CO2:MOZ,1979-12-31,2058.8590659204
EDGAR:CO2:MOZ,1980-12-31,2489.8106182344
EDGAR:CO2:MOZ,1981-12-31,2192.8236081893
EDGAR:CO2:MOZ,1982-12-31,2021.976631323
EDGAR:CO2:MOZ,1983-12-31,1843.7666070007
EDGAR:CO2:MOZ,1984-12-31,1553.7093314032
EDGAR:CO2:MOZ,1985-12-31,1576.2970338841
EDGAR:CO2:MOZ,1986-12-31,1541.1125490296
EDGAR:CO2:MOZ,1987-12-31,1540.3058193848
EDGAR:CO2:MOZ,1988-12-31,1548.3545249394
EDGAR:CO2:MOZ,1989-12-31,1531.3368989139
EDGAR:CO2:MOZ,1990-12-31,1161.8605700481
EDGAR:CO2:MOZ,1991-12-31,974.32487924026
EDGAR:CO2:MOZ,1992-12-31,1161.4195844117
EDGAR:CO2:MOZ,1993-12-31,1351.1429060426
EDGAR:CO2:MOZ,1994-12-31,1145.1852366955
EDGAR:CO2:MOZ,1995-12-31,1257.4515542409
EDGAR:CO2:MOZ,1996-12-31,1213.3589472376
EDGAR:CO2:MOZ,1997-12-31,1341.4451528836
EDGAR:CO2:MOZ,1998-12-31,1296.3681247771
EDGAR:CO2:MOZ,1999-12-31,1289.9733863831
EDGAR:CO2:MOZ,2000-12-31,1570.9945555058
EDGAR:CO2:MOZ,2001-12-31,1896.575126659
EDGAR:CO2:MOZ,2002-12-31,1987.3496544579
EDGAR:CO2:MOZ,2003-12-31,2525.5885754637
EDGAR:CO2:MOZ,2004-12-31,2780.3217236632
EDGAR:CO2:MOZ,2005-12-31,2665.8091805813
EDGAR:CO2:MOZ,2006-12-31,2827.0751631965
EDGAR:CO2:MOZ,2007-12-31,3243.9524469054
EDGAR:CO2:MOZ,2008-12-31,3149.3963206507
EDGAR:CO2:MOZ,2009-12-31,3402.9566106975
EDGAR:CO2:MOZ,2010-12-31,3605.5523795991
EDGAR:CO2:MOZ,2011-12-31,4248.9104206673
EDGAR:CO2:MOZ,2012-12-31,4701.917730134
EDGAR:CO2:MOZ,2013-12-31,5117.3895162129
EDGAR:CO2:MOZ,2014-12-31,5790.8128505543
EDGAR:CO2:MOZ,2015-12-31,6458.2363719079
EDGAR:CO2:MOZ,2016-12-31,8331.8708302055
EDGAR:CO2:MOZ,2017-12-31,8312.1671184164
EDGAR:CO2:MOZ,2018-12-31,8055.4483986722
EDGAR:CO2:MOZ,2019-12-31,8629.3328467231
EDGAR:CO2:MOZ,2020-12-31,7953.4373310516
EDGAR:CO2:MOZ,2021-12-31,9143.9183252852
EDGAR:CO2:MOZ,2022-12-31,10897.192470131
EDGAR:CO2:MOZ,2023-12-31,10719.047104969
EDGAR:CO2:MOZ,2024-12-31,10112.699277307
