series_id,obs_date,value
EDGAR:CO2bio:PHL,1970-12-31,52390.856044576
EDGAR:CO2bio:PHL,1971-12-31,52721.080292629
EDGAR:CO2bio:PHL,1972-12-31,51273.814776934
EDGAR:CO2bio:PHL,1973-12-31,54301.212742493
EDGAR:CO2bio:PHL,1974-12-31,57027.221570288
EDGAR:CO2bio:PHL,1975-12-31,58898.742721337
EDGAR:CO2bio:PHL,1976-12-31,60577.500132146
EDGAR:CO2bio:PHL,1977-12-31,61507.565986143
EDGAR:CO2bio:PHL,1978-12-31,61942.039943552
EDGAR:CO2bio:PHL,1979-12-31,63569.667118541
EDGAR:CO2bio:PHL,1980-12-31,63790.194268448
EDGAR:CO2bio:PHL,1981-12-31,65377.721573412
EDGAR:CO2bio:PHL,1982-12-31,66243.211233357
EDGAR:CO2bio:PHL,1983-12-31,65642.75128618
EDGAR:CO2bio:PHL,1984-12-31,67591.946301362
EDGAR:CO2bio:PHL,1985-12-31,69107.252600965
EDGAR:CO2bio:PHL,1986-12-31,70096.751166546
EDGAR:CO2bio:PHL,1987-12-31,68176.828581504
EDGAR:CO2bio:PHL,1988-12-31,69663.029096209
EDGAR:CO2bio:PHL,1989-12-31,71408.135522341
EDGAR:CO2bio:PHL,1990-12-31,73300.542485744
EDGAR:CO2bio:PHL,1991-12-31,70461.379123026
EDGAR:CO2bio:PHL,1992-12-31,67716.362455235
EDGAR:CO2bio:PHL,1993-12-31,67100.683469869
EDGAR:CO2bio:PHL,1994-12-31,67676.691386507
EDGAR:CO2bio:PHL,1995-12-31,65438.997314257
EDGAR:CO2bio:PHL,1996-12-31,66654.948202961
EDGAR:CO2bio:PHL,1997-12-31,65773.352340097
EDGAR:CO2bio:PHL,1998-12-31,59777.848049504
EDGAR:CO2bio:PHL,1999-12-31,65791.031503247
EDGAR:CO2bio:PHL,2000-12-31,65479.055365077
EDGAR:CO2bio:PHL,2001-12-31,65562.476997093
EDGAR:CO2bio:PHL,2002-12-31,65042.362107418
EDGAR:CO2bio:PHL,2003-12-31,65112.679110359
EDGAR:CO2bio:PHL,2004-12-31,66631.330071124
EDGAR:CO2bio:PHL,2005-12-31,67390.830633979
EDGAR:CO2bio:PHL,2006-12-31,70362.806821987
EDGAR:CO2bio:PHL,2007-12-31,73329.217167805
EDGAR:CO2bio:PHL,2008-12-31,76453.159605645
EDGAR:CO2bio:PHL,2009-12-31,77531.854306419
EDGAR:CO2bio:PHL,2010-12-31,76953.323422303
EDGAR:CO2bio:PHL,2011-12-31,81130.845342806
EDGAR:CO2bio:PHL,2012-12-31,84385.37148905
EDGAR:CO2bio:PHL,2013-12-31,86403.440737485
EDGAR:CO2bio:PHL,2014-12-31,88547.732435588
EDGAR:CO2bio:PHL,2015-12-31,88166.589769622
EDGAR:CO2bio:PHL,2016-12-31,88193.836731365
EDGAR:CO2bio:PHL,2017-12-31,92884.350088868
EDGAR:CO2bio:PHL,2018-12-31,92989.673969063
EDGAR:CO2bio:PHL,2019-12-31,92765.624475509
EDGAR:CO2bio:PHL,2020-12-31,91075.916959089
EDGAR:CO2bio:PHL,2021-12-31,93861.965001963
EDGAR:CO2bio:PHL,2022-12-31,93829.972778813
EDGAR:CO2bio:PHL,2023-12-31,93919.618519428
EDGAR:CO2bio:PHL,2024-12-31,94044.874521076
