series_id,obs_date,value
EDGAR:CO2bio:PRT,1970-12-31,6954.0876047578
EDGAR:CO2bio:PRT,1971-12-31,5340.0575859861
EDGAR:CO2bio:PRT,1972-12-31,5110.7286162121
EDGAR:CO2bio:PRT,1973-12-31,5072.2430191625
EDGAR:CO2bio:PRT,1974-12-31,4996.503914791
EDGAR:CO2bio:PRT,1975-12-31,5054.6511395407
EDGAR:CO2bio:PRT,1976-12-31,4981.7530573071
EDGAR:CO2bio:PRT,1977-12-31,5125.4600369557
EDGAR:CO2bio:PRT,1978-12-31,5432.8240474289
EDGAR:CO2bio:PRT,1979-12-31,5614.0295240021
EDGAR:CO2bio:PRT,1980-12-31,5403.6729420305
EDGAR:CO2bio:PRT,1981-12-31,5444.5592080648
EDGAR:CO2bio:PRT,1982-12-31,5664.1239357879
EDGAR:CO2bio:PRT,1983-12-31,5825.4184635557
EDGAR:CO2bio:PRT,1984-12-31,5816.9175705459
EDGAR:CO2bio:PRT,1985-12-31,6258.0761336623
EDGAR:CO2bio:PRT,1986-12-31,6663.692271133
EDGAR:CO2bio:PRT,1987-12-31,6818.016160823
EDGAR:CO2bio:PRT,1988-12-31,6872.7061337697
EDGAR:CO2bio:PRT,1989-12-31,10268.542311518
EDGAR:CO2bio:PRT,1990-12-31,12782.678138553
EDGAR:CO2bio:PRT,1991-12-31,13380.886786376
EDGAR:CO2bio:PRT,1992-12-31,13073.85260165
EDGAR:CO2bio:PRT,1993-12-31,13003.906232977
EDGAR:CO2bio:PRT,1994-12-31,13174.529018381
EDGAR:CO2bio:PRT,1995-12-31,13711.547407187
EDGAR:CO2bio:PRT,1996-12-31,13215.605475904
EDGAR:CO2bio:PRT,1997-12-31,13874.844750586
EDGAR:CO2bio:PRT,1998-12-31,13773.856561764
EDGAR:CO2bio:PRT,1999-12-31,14199.138728117
EDGAR:CO2bio:PRT,2000-12-31,14556.401183073
EDGAR:CO2bio:PRT,2001-12-31,14494.846437181
EDGAR:CO2bio:PRT,2002-12-31,14961.850906732
EDGAR:CO2bio:PRT,2003-12-31,14824.889631756
EDGAR:CO2bio:PRT,2004-12-31,14922.1649977
EDGAR:CO2bio:PRT,2005-12-31,15005.18623403
EDGAR:CO2bio:PRT,2006-12-31,15636.03231693
EDGAR:CO2bio:PRT,2007-12-31,16442.526611451
EDGAR:CO2bio:PRT,2008-12-31,16454.562009962
EDGAR:CO2bio:PRT,2009-12-31,17051.402326426
EDGAR:CO2bio:PRT,2010-12-31,16704.394303688
EDGAR:CO2bio:PRT,2011-12-31,16972.480198986
EDGAR:CO2bio:PRT,2012-12-31,15730.247416616
EDGAR:CO2bio:PRT,2013-12-31,16082.969353975
EDGAR:CO2bio:PRT,2014-12-31,15802.178506142
EDGAR:CO2bio:PRT,2015-12-31,16201.821468221
EDGAR:CO2bio:PRT,2016-12-31,16390.604372653
EDGAR:CO2bio:PRT,2017-12-31,16474.265730861
EDGAR:CO2bio:PRT,2018-12-31,16437.119983223
EDGAR:CO2bio:PRT,2019-12-31,17128.198996892
EDGAR:CO2bio:PRT,2020-12-31,17232.137375714
EDGAR:CO2bio:PRT,2021-12-31,17443.653811656
EDGAR:CO2bio:PRT,2022-12-31,18009.999394903
EDGAR:CO2bio:PRT,2023-12-31,17856.197085365
EDGAR:CO2bio:PRT,2024-12-31,17848.935059615
