series_id,obs_date,value
EDGAR:CO2bio:VEN,1970-12-31,8610.7415856873
EDGAR:CO2bio:VEN,1971-12-31,8618.5414770431
EDGAR:CO2bio:VEN,1972-12-31,8693.737123556
EDGAR:CO2bio:VEN,1973-12-31,8521.0116866949
EDGAR:CO2bio:VEN,1974-12-31,8871.4859363982
EDGAR:CO2bio:VEN,1975-12-31,8787.2387877147
EDGAR:CO2bio:VEN,1976-12-31,8821.6228552564
EDGAR:CO2bio:VEN,1977-12-31,8829.7300882453
EDGAR:CO2bio:VEN,1978-12-31,8639.3258747325
EDGAR:CO2bio:VEN,1979-12-31,8597.6359593518
EDGAR:CO2bio:VEN,1980-12-31,8651.3008312982
EDGAR:CO2bio:VEN,1981-12-31,8472.855104653
EDGAR:CO2bio:VEN,1982-12-31,8808.2671299176
EDGAR:CO2bio:VEN,1983-12-31,8643.4314588173
EDGAR:CO2bio:VEN,1984-12-31,8724.9470984353
EDGAR:CO2bio:VEN,1985-12-31,9305.3218520332
EDGAR:CO2bio:VEN,1986-12-31,9962.1585456621
EDGAR:CO2bio:VEN,1987-12-31,10265.46175751
EDGAR:CO2bio:VEN,1988-12-31,10068.051353001
EDGAR:CO2bio:VEN,1989-12-31,9906.128547837
EDGAR:CO2bio:VEN,1990-12-31,9651.4424233727
EDGAR:CO2bio:VEN,1991-12-31,10188.089435357
EDGAR:CO2bio:VEN,1992-12-31,10214.341505268
EDGAR:CO2bio:VEN,1993-12-31,10096.67244859
EDGAR:CO2bio:VEN,1994-12-31,9695.8787991446
EDGAR:CO2bio:VEN,1995-12-31,9717.7438275124
EDGAR:CO2bio:VEN,1996-12-31,10082.945431156
EDGAR:CO2bio:VEN,1997-12-31,10592.491624093
EDGAR:CO2bio:VEN,1998-12-31,10752.270650292
EDGAR:CO2bio:VEN,1999-12-31,10215.042368141
EDGAR:CO2bio:VEN,2000-12-31,11671.098386651
EDGAR:CO2bio:VEN,2001-12-31,11201.750901421
EDGAR:CO2bio:VEN,2002-12-31,10972.087105255
EDGAR:CO2bio:VEN,2003-12-31,10434.651666638
EDGAR:CO2bio:VEN,2004-12-31,12536.984421129
EDGAR:CO2bio:VEN,2005-12-31,12788.184913359
EDGAR:CO2bio:VEN,2006-12-31,13175.252690406
EDGAR:CO2bio:VEN,2007-12-31,12830.268491067
EDGAR:CO2bio:VEN,2008-12-31,12762.423414168
EDGAR:CO2bio:VEN,2009-12-31,12079.42012853
EDGAR:CO2bio:VEN,2010-12-31,10804.978789368
EDGAR:CO2bio:VEN,2011-12-31,10832.751013069
EDGAR:CO2bio:VEN,2012-12-31,10880.372677379
EDGAR:CO2bio:VEN,2013-12-31,11048.842817346
EDGAR:CO2bio:VEN,2014-12-31,10650.113242165
EDGAR:CO2bio:VEN,2015-12-31,8749.3428850752
EDGAR:CO2bio:VEN,2016-12-31,7323.0338955129
EDGAR:CO2bio:VEN,2017-12-31,7045.7023861694
EDGAR:CO2bio:VEN,2018-12-31,6865.8676380452
EDGAR:CO2bio:VEN,2019-12-31,5036.0785472044
EDGAR:CO2bio:VEN,2020-12-31,5162.9620605464
EDGAR:CO2bio:VEN,2021-12-31,5000.7874962067
EDGAR:CO2bio:VEN,2022-12-31,5211.6913181719
EDGAR:CO2bio:VEN,2023-12-31,5200.2632363034
EDGAR:CO2bio:VEN,2024-12-31,4898.3530416682
