series_id,obs_date,value
EDGAR:GHG:IRQ,1970-12-31,103520.89916875
EDGAR:GHG:IRQ,1971-12-31,107709.47625799
EDGAR:GHG:IRQ,1972-12-31,98292.027715082
EDGAR:GHG:IRQ,1973-12-31,123490.09762634
EDGAR:GHG:IRQ,1974-12-31,123484.1192331
EDGAR:GHG:IRQ,1975-12-31,140018.97458175
EDGAR:GHG:IRQ,1976-12-31,156350.62872739
EDGAR:GHG:IRQ,1977-12-31,149760.23167183
EDGAR:GHG:IRQ,1978-12-31,163737.03096731
EDGAR:GHG:IRQ,1979-12-31,212539.24576515
EDGAR:GHG:IRQ,1980-12-31,173736.36021321
EDGAR:GHG:IRQ,1981-12-31,90872.079689413
EDGAR:GHG:IRQ,1982-12-31,94240.102365836
EDGAR:GHG:IRQ,1983-12-31,97688.175050752
EDGAR:GHG:IRQ,1984-12-31,112260.62783172
EDGAR:GHG:IRQ,1985-12-31,129211.20179346
EDGAR:GHG:IRQ,1986-12-31,147270.47749458
EDGAR:GHG:IRQ,1987-12-31,164202.54847014
EDGAR:GHG:IRQ,1988-12-31,195540.98618328
EDGAR:GHG:IRQ,1989-12-31,211841.25951068
EDGAR:GHG:IRQ,1990-12-31,171718.24072767
EDGAR:GHG:IRQ,1991-12-31,78394.927212209
EDGAR:GHG:IRQ,1992-12-31,106600.30403926
EDGAR:GHG:IRQ,1993-12-31,136395.16554354
EDGAR:GHG:IRQ,1994-12-31,148303.73692299
EDGAR:GHG:IRQ,1995-12-31,148392.93735963
EDGAR:GHG:IRQ,1996-12-31,138161.79860256
EDGAR:GHG:IRQ,1997-12-31,177248.30737743
EDGAR:GHG:IRQ,1998-12-31,158937.41587251
EDGAR:GHG:IRQ,1999-12-31,148087.87774794
EDGAR:GHG:IRQ,2000-12-31,167851.36707183
EDGAR:GHG:IRQ,2001-12-31,181674.41184005
EDGAR:GHG:IRQ,2002-12-31,169949.83584843
EDGAR:GHG:IRQ,2003-12-31,152200.99918036
EDGAR:GHG:IRQ,2004-12-31,170869.91822996
EDGAR:GHG:IRQ,2005-12-31,164520.82692387
EDGAR:GHG:IRQ,2006-12-31,164146.87429831
EDGAR:GHG:IRQ,2007-12-31,154437.94882856
EDGAR:GHG:IRQ,2008-12-31,171497.82000592
EDGAR:GHG:IRQ,2009-12-31,187344.03603364
EDGAR:GHG:IRQ,2010-12-31,210534.17542787
EDGAR:GHG:IRQ,2011-12-31,223788.56728893
EDGAR:GHG:IRQ,2012-12-31,253353.12394554
EDGAR:GHG:IRQ,2013-12-31,265303.350804
EDGAR:GHG:IRQ,2014-12-31,265477.19397937
EDGAR:GHG:IRQ,2015-12-31,275916.28760641
EDGAR:GHG:IRQ,2016-12-31,325512.03425488
EDGAR:GHG:IRQ,2017-12-31,339868.22692955
EDGAR:GHG:IRQ,2018-12-31,357464.54717581
EDGAR:GHG:IRQ,2019-12-31,377126.64291304
EDGAR:GHG:IRQ,2020-12-31,345617.84587306
EDGAR:GHG:IRQ,2021-12-31,361816.74610063
EDGAR:GHG:IRQ,2022-12-31,399167.46492952
EDGAR:GHG:IRQ,2023-12-31,405173.16134328
EDGAR:GHG:IRQ,2024-12-31,413276.42108277
