series_id,obs_date,value
EDGAR:GHG:ISL,1970-12-31,3236.833271707
EDGAR:GHG:ISL,1971-12-31,3376.4585857328
EDGAR:GHG:ISL,1972-12-31,3682.7825375327
EDGAR:GHG:ISL,1973-12-31,4379.4468081494
EDGAR:GHG:ISL,1974-12-31,4308.2473399729
EDGAR:GHG:ISL,1975-12-31,4044.2559231651
EDGAR:GHG:ISL,1976-12-31,4138.8087500047
EDGAR:GHG:ISL,1977-12-31,4287.7234247007
EDGAR:GHG:ISL,1978-12-31,4413.9607527499
EDGAR:GHG:ISL,1979-12-31,4460.4658087404
EDGAR:GHG:ISL,1980-12-31,4245.6301843185
EDGAR:GHG:ISL,1981-12-31,4171.957080604
EDGAR:GHG:ISL,1982-12-31,3867.856097844
EDGAR:GHG:ISL,1983-12-31,3924.0187681311
EDGAR:GHG:ISL,1984-12-31,4214.7536828593
EDGAR:GHG:ISL,1985-12-31,4024.9133710856
EDGAR:GHG:ISL,1986-12-31,4073.367206106
EDGAR:GHG:ISL,1987-12-31,4209.9755974307
EDGAR:GHG:ISL,1988-12-31,4325.2005910196
EDGAR:GHG:ISL,1989-12-31,4433.2691652232
EDGAR:GHG:ISL,1990-12-31,4413.4282328309
EDGAR:GHG:ISL,1991-12-31,4387.9912058985
EDGAR:GHG:ISL,1992-12-31,3307.0495123028
EDGAR:GHG:ISL,1993-12-31,3426.407715612
EDGAR:GHG:ISL,1994-12-31,3559.8730361974
EDGAR:GHG:ISL,1995-12-31,3379.3508331249
EDGAR:GHG:ISL,1996-12-31,3679.9098675692
EDGAR:GHG:ISL,1997-12-31,3615.7695424489
EDGAR:GHG:ISL,1998-12-31,3769.978217812
EDGAR:GHG:ISL,1999-12-31,3829.5390546793
EDGAR:GHG:ISL,2000-12-31,3938.0436504812
EDGAR:GHG:ISL,2001-12-31,4049.0813005843
EDGAR:GHG:ISL,2002-12-31,4244.5631731759
EDGAR:GHG:ISL,2003-12-31,4217.7530337632
EDGAR:GHG:ISL,2004-12-31,4301.9046810594
EDGAR:GHG:ISL,2005-12-31,4213.4071826331
EDGAR:GHG:ISL,2006-12-31,4397.429698329
EDGAR:GHG:ISL,2007-12-31,4755.0504389316
EDGAR:GHG:ISL,2008-12-31,5050.3253425538
EDGAR:GHG:ISL,2009-12-31,5065.983445938
EDGAR:GHG:ISL,2010-12-31,5000.3567434968
EDGAR:GHG:ISL,2011-12-31,4864.3118622378
EDGAR:GHG:ISL,2012-12-31,4858.2703025641
EDGAR:GHG:ISL,2013-12-31,4897.6779660303
EDGAR:GHG:ISL,2014-12-31,4642.762446412
EDGAR:GHG:ISL,2015-12-31,4838.4193209061
EDGAR:GHG:ISL,2016-12-31,4357.6764595031
EDGAR:GHG:ISL,2017-12-31,4507.9013474557
EDGAR:GHG:ISL,2018-12-31,4475.5163047497
EDGAR:GHG:ISL,2019-12-31,4336.5123278186
EDGAR:GHG:ISL,2020-12-31,4227.7693901474
EDGAR:GHG:ISL,2021-12-31,4260.3525413214
EDGAR:GHG:ISL,2022-12-31,4301.7230079263
EDGAR:GHG:ISL,2023-12-31,4246.0513453687
EDGAR:GHG:ISL,2024-12-31,4282.410664188
