series_id,obs_date,value
EDGAR:GHG:KOR,1970-12-31,91155.740750768
EDGAR:GHG:KOR,1971-12-31,92176.874941876
EDGAR:GHG:KOR,1972-12-31,94569.704486661
EDGAR:GHG:KOR,1973-12-31,111675.96654091
EDGAR:GHG:KOR,1974-12-31,118335.14100962
EDGAR:GHG:KOR,1975-12-31,127325.16999149
EDGAR:GHG:KOR,1976-12-31,137590.30428905
EDGAR:GHG:KOR,1977-12-31,153668.04891808
EDGAR:GHG:KOR,1978-12-31,161918.96477938
EDGAR:GHG:KOR,1979-12-31,179327.03574236
EDGAR:GHG:KOR,1980-12-31,181045.71406276
EDGAR:GHG:KOR,1981-12-31,188793.14025771
EDGAR:GHG:KOR,1982-12-31,188610.93837033
EDGAR:GHG:KOR,1983-12-31,204417.93871647
EDGAR:GHG:KOR,1984-12-31,227808.92023857
EDGAR:GHG:KOR,1985-12-31,238491.82218843
EDGAR:GHG:KOR,1986-12-31,247750.57591488
EDGAR:GHG:KOR,1987-12-31,253277.59058302
EDGAR:GHG:KOR,1988-12-31,279867.55694265
EDGAR:GHG:KOR,1989-12-31,290421.99906235
EDGAR:GHG:KOR,1990-12-31,311402.0943529
EDGAR:GHG:KOR,1991-12-31,346703.37769087
EDGAR:GHG:KOR,1992-12-31,377498.77019305
EDGAR:GHG:KOR,1993-12-31,403121.46260943
EDGAR:GHG:KOR,1994-12-31,433936.93336852
EDGAR:GHG:KOR,1995-12-31,466407.82208731
EDGAR:GHG:KOR,1996-12-31,499757.72340109
EDGAR:GHG:KOR,1997-12-31,527461.55316763
EDGAR:GHG:KOR,1998-12-31,454985.56598034
EDGAR:GHG:KOR,1999-12-31,496609.26566733
EDGAR:GHG:KOR,2000-12-31,530144.98001802
EDGAR:GHG:KOR,2001-12-31,537294.35181494
EDGAR:GHG:KOR,2002-12-31,554173.05005927
EDGAR:GHG:KOR,2003-12-31,560142.7191098
EDGAR:GHG:KOR,2004-12-31,578458.54858913
EDGAR:GHG:KOR,2005-12-31,575115.24430276
EDGAR:GHG:KOR,2006-12-31,583400.56939046
EDGAR:GHG:KOR,2007-12-31,603976.24304572
EDGAR:GHG:KOR,2008-12-31,616336.06736255
EDGAR:GHG:KOR,2009-12-31,621142.47204507
EDGAR:GHG:KOR,2010-12-31,682954.95607095
EDGAR:GHG:KOR,2011-12-31,716389.67362334
EDGAR:GHG:KOR,2012-12-31,715602.33326436
EDGAR:GHG:KOR,2013-12-31,712962.37740006
EDGAR:GHG:KOR,2014-12-31,702553.06728806
EDGAR:GHG:KOR,2015-12-31,714593.76927942
EDGAR:GHG:KOR,2016-12-31,719521.43192105
EDGAR:GHG:KOR,2017-12-31,738191.24358933
EDGAR:GHG:KOR,2018-12-31,754522.25583933
EDGAR:GHG:KOR,2019-12-31,729069.57163628
EDGAR:GHG:KOR,2020-12-31,695127.06346979
EDGAR:GHG:KOR,2021-12-31,719280.57233316
EDGAR:GHG:KOR,2022-12-31,694878.30790562
EDGAR:GHG:KOR,2023-12-31,670114.55551284
EDGAR:GHG:KOR,2024-12-31,668245.2710079
