series_id,obs_date,value
EDGAR:GHG:PNG,1970-12-31,2762.9967531146
EDGAR:GHG:PNG,1971-12-31,2793.7285113806
EDGAR:GHG:PNG,1972-12-31,2905.342203088
EDGAR:GHG:PNG,1973-12-31,3185.5555923664
EDGAR:GHG:PNG,1974-12-31,3559.6935187919
EDGAR:GHG:PNG,1975-12-31,3280.0159268942
EDGAR:GHG:PNG,1976-12-31,3291.3908397253
EDGAR:GHG:PNG,1977-12-31,3389.9938738432
EDGAR:GHG:PNG,1978-12-31,3400.7660520918
EDGAR:GHG:PNG,1979-12-31,3540.9032454497
EDGAR:GHG:PNG,1980-12-31,3683.6684114119
EDGAR:GHG:PNG,1981-12-31,3683.4854716099
EDGAR:GHG:PNG,1982-12-31,3709.2942231942
EDGAR:GHG:PNG,1983-12-31,3727.1147013061
EDGAR:GHG:PNG,1984-12-31,3828.3129559299
EDGAR:GHG:PNG,1985-12-31,3958.4830390453
EDGAR:GHG:PNG,1986-12-31,3858.0737593609
EDGAR:GHG:PNG,1987-12-31,4277.1252118657
EDGAR:GHG:PNG,1988-12-31,4139.205119459
EDGAR:GHG:PNG,1989-12-31,4041.0722239728
EDGAR:GHG:PNG,1990-12-31,4871.8502044579
EDGAR:GHG:PNG,1991-12-31,5009.1015706742
EDGAR:GHG:PNG,1992-12-31,5445.6309563089
EDGAR:GHG:PNG,1993-12-31,5576.369508221
EDGAR:GHG:PNG,1994-12-31,5569.284103359
EDGAR:GHG:PNG,1995-12-31,5607.9262950821
EDGAR:GHG:PNG,1996-12-31,5731.6967871953
EDGAR:GHG:PNG,1997-12-31,5675.0140518251
EDGAR:GHG:PNG,1998-12-31,9000.0365541519
EDGAR:GHG:PNG,1999-12-31,6172.577687624
EDGAR:GHG:PNG,2000-12-31,7074.6701682355
EDGAR:GHG:PNG,2001-12-31,7151.3564121534
EDGAR:GHG:PNG,2002-12-31,7875.5953148317
EDGAR:GHG:PNG,2003-12-31,8111.08092376
EDGAR:GHG:PNG,2004-12-31,8620.9418514913
EDGAR:GHG:PNG,2005-12-31,9995.4740438085
EDGAR:GHG:PNG,2006-12-31,10568.54016924
EDGAR:GHG:PNG,2007-12-31,9709.8278265747
EDGAR:GHG:PNG,2008-12-31,10287.252035454
EDGAR:GHG:PNG,2009-12-31,8596.6370684054
EDGAR:GHG:PNG,2010-12-31,7529.3708428612
EDGAR:GHG:PNG,2011-12-31,7775.2668808433
EDGAR:GHG:PNG,2012-12-31,7570.5491237327
EDGAR:GHG:PNG,2013-12-31,7983.6539773564
EDGAR:GHG:PNG,2014-12-31,9595.8336997413
EDGAR:GHG:PNG,2015-12-31,10631.312176171
EDGAR:GHG:PNG,2016-12-31,11331.140863072
EDGAR:GHG:PNG,2017-12-31,10483.770610921
EDGAR:GHG:PNG,2018-12-31,9372.814376948
EDGAR:GHG:PNG,2019-12-31,9667.9638679921
EDGAR:GHG:PNG,2020-12-31,10124.634897541
EDGAR:GHG:PNG,2021-12-31,10077.276871042
EDGAR:GHG:PNG,2022-12-31,10427.687031899
EDGAR:GHG:PNG,2023-12-31,10662.30244286
EDGAR:GHG:PNG,2024-12-31,10761.087900867
