series_id,obs_date,value
EDGAR:N2O:USA,1970-12-31,954.7850988574
EDGAR:N2O:USA,1971-12-31,958.99767409511
EDGAR:N2O:USA,1972-12-31,973.60284029809
EDGAR:N2O:USA,1973-12-31,998.0959403272
EDGAR:N2O:USA,1974-12-31,965.44268172664
EDGAR:N2O:USA,1975-12-31,977.81058354919
EDGAR:N2O:USA,1976-12-31,1023.1635359724
EDGAR:N2O:USA,1977-12-31,1004.4603599189
EDGAR:N2O:USA,1978-12-31,1018.3071946645
EDGAR:N2O:USA,1979-12-31,1010.6968541366
EDGAR:N2O:USA,1980-12-31,962.81384803927
EDGAR:N2O:USA,1981-12-31,939.60542077943
EDGAR:N2O:USA,1982-12-31,881.50579074451
EDGAR:N2O:USA,1983-12-31,920.3402303775
EDGAR:N2O:USA,1984-12-31,922.14097832684
EDGAR:N2O:USA,1985-12-31,888.51156358749
EDGAR:N2O:USA,1986-12-31,880.70291379231
EDGAR:N2O:USA,1987-12-31,877.59195563596
EDGAR:N2O:USA,1988-12-31,869.32108306163
EDGAR:N2O:USA,1989-12-31,878.5320057702
EDGAR:N2O:USA,1990-12-31,842.72625833502
EDGAR:N2O:USA,1991-12-31,831.73862351803
EDGAR:N2O:USA,1992-12-31,856.66354152245
EDGAR:N2O:USA,1993-12-31,871.4916941247
EDGAR:N2O:USA,1994-12-31,891.23353655079
EDGAR:N2O:USA,1995-12-31,900.67348544477
EDGAR:N2O:USA,1996-12-31,921.16812486084
EDGAR:N2O:USA,1997-12-31,919.59458928162
EDGAR:N2O:USA,1998-12-31,916.10907812941
EDGAR:N2O:USA,1999-12-31,909.92408238511
EDGAR:N2O:USA,2000-12-31,906.87457395283
EDGAR:N2O:USA,2001-12-31,892.03551991406
EDGAR:N2O:USA,2002-12-31,874.69199963623
EDGAR:N2O:USA,2003-12-31,892.69978670278
EDGAR:N2O:USA,2004-12-31,890.65740768341
EDGAR:N2O:USA,2005-12-31,885.11770531238
EDGAR:N2O:USA,2006-12-31,898.67853485257
EDGAR:N2O:USA,2007-12-31,899.15213084532
EDGAR:N2O:USA,2008-12-31,860.19279916763
EDGAR:N2O:USA,2009-12-31,842.56784514733
EDGAR:N2O:USA,2010-12-31,868.54244781637
EDGAR:N2O:USA,2011-12-31,864.26039926134
EDGAR:N2O:USA,2012-12-31,844.13320262937
EDGAR:N2O:USA,2013-12-31,860.101987506
EDGAR:N2O:USA,2014-12-31,855.05983517638
EDGAR:N2O:USA,2015-12-31,841.43866749464
EDGAR:N2O:USA,2016-12-31,850.2583325341
EDGAR:N2O:USA,2017-12-31,838.00164173016
EDGAR:N2O:USA,2018-12-31,835.71320938913
EDGAR:N2O:USA,2019-12-31,830.01799121097
EDGAR:N2O:USA,2020-12-31,811.77081978856
EDGAR:N2O:USA,2021-12-31,815.03607843193
EDGAR:N2O:USA,2022-12-31,826.25571682865
EDGAR:N2O:USA,2023-12-31,812.07391162723
EDGAR:N2O:USA,2024-12-31,813.59631146247
