series_id,obs_date,value
EDGAR:PM10:IDN,1970-12-31,1019.8356645205
EDGAR:PM10:IDN,1971-12-31,1023.9991217728
EDGAR:PM10:IDN,1972-12-31,1020.9554993348
EDGAR:PM10:IDN,1973-12-31,1043.1681259896
EDGAR:PM10:IDN,1974-12-31,1038.4391208058
EDGAR:PM10:IDN,1975-12-31,1056.0515788507
EDGAR:PM10:IDN,1976-12-31,1069.8166806109
EDGAR:PM10:IDN,1977-12-31,1094.4560325708
EDGAR:PM10:IDN,1978-12-31,1137.8712786548
EDGAR:PM10:IDN,1979-12-31,1156.554474033
EDGAR:PM10:IDN,1980-12-31,1187.822086226
EDGAR:PM10:IDN,1981-12-31,1229.6673857386
EDGAR:PM10:IDN,1982-12-31,1243.1984040118
EDGAR:PM10:IDN,1983-12-31,1281.8304905403
EDGAR:PM10:IDN,1984-12-31,1321.4378077554
EDGAR:PM10:IDN,1985-12-31,1349.3290504717
EDGAR:PM10:IDN,1986-12-31,1378.3866979427
EDGAR:PM10:IDN,1987-12-31,1394.2646629751
EDGAR:PM10:IDN,1988-12-31,1433.8891200994
EDGAR:PM10:IDN,1989-12-31,1494.0887154337
EDGAR:PM10:IDN,1990-12-31,1647.098139422
EDGAR:PM10:IDN,1991-12-31,1677.2763412684
EDGAR:PM10:IDN,1992-12-31,1732.9135283294
EDGAR:PM10:IDN,1993-12-31,1759.3716034799
EDGAR:PM10:IDN,1994-12-31,1783.7583211621
EDGAR:PM10:IDN,1995-12-31,1825.3876012397
EDGAR:PM10:IDN,1996-12-31,1850.4102415029
EDGAR:PM10:IDN,1997-12-31,1854.5269583614
EDGAR:PM10:IDN,1998-12-31,1840.2938004374
EDGAR:PM10:IDN,1999-12-31,1844.47136633
EDGAR:PM10:IDN,2000-12-31,1905.9843658786
EDGAR:PM10:IDN,2001-12-31,1916.9059603772
EDGAR:PM10:IDN,2002-12-31,1950.6314872556
EDGAR:PM10:IDN,2003-12-31,1990.9198066817
EDGAR:PM10:IDN,2004-12-31,1991.6979735153
EDGAR:PM10:IDN,2005-12-31,2009.4015367752
EDGAR:PM10:IDN,2006-12-31,2041.4042411102
EDGAR:PM10:IDN,2007-12-31,2096.9747443299
EDGAR:PM10:IDN,2008-12-31,2078.5265883381
EDGAR:PM10:IDN,2009-12-31,2026.7287675312
EDGAR:PM10:IDN,2010-12-31,2080.5464933164
EDGAR:PM10:IDN,2011-12-31,2075.0460496515
EDGAR:PM10:IDN,2012-12-31,2000.046272055
EDGAR:PM10:IDN,2013-12-31,1857.4998648689
EDGAR:PM10:IDN,2014-12-31,1833.3980225562
EDGAR:PM10:IDN,2015-12-31,1746.982195593
EDGAR:PM10:IDN,2016-12-31,1670.6646910694
EDGAR:PM10:IDN,2017-12-31,1722.0970925338
EDGAR:PM10:IDN,2018-12-31,1764.9109852887
EDGAR:PM10:IDN,2019-12-31,1657.049010488
EDGAR:PM10:IDN,2020-12-31,1550.2730576417
EDGAR:PM10:IDN,2021-12-31,1542.387699015
EDGAR:PM10:IDN,2022-12-31,1663.7766158442
