series_id,obs_date,value
GISS:global:Apr,1880-04-01,-0.17
GISS:global:Apr,1881-04-01,0.04
GISS:global:Apr,1882-04-01,-0.16
GISS:global:Apr,1883-04-01,-0.18
GISS:global:Apr,1884-04-01,-0.4
GISS:global:Apr,1885-04-01,-0.42
GISS:global:Apr,1886-04-01,-0.28
GISS:global:Apr,1887-04-01,-0.35
GISS:global:Apr,1888-04-01,-0.21
GISS:global:Apr,1889-04-01,0.09
GISS:global:Apr,1890-04-01,-0.3
GISS:global:Apr,1891-04-01,-0.27
GISS:global:Apr,1892-04-01,-0.33
GISS:global:Apr,1893-04-01,-0.28
GISS:global:Apr,1894-04-01,-0.45
GISS:global:Apr,1895-04-01,-0.22
GISS:global:Apr,1896-04-01,-0.31
GISS:global:Apr,1897-04-01,-0.03
GISS:global:Apr,1898-04-01,-0.31
GISS:global:Apr,1899-04-01,-0.2
GISS:global:Apr,1900-04-01,-0.09
GISS:global:Apr,1901-04-01,-0.03
GISS:global:Apr,1902-04-01,-0.28
GISS:global:Apr,1903-04-01,-0.41
GISS:global:Apr,1904-04-01,-0.51
GISS:global:Apr,1905-04-01,-0.34
GISS:global:Apr,1906-04-01,-0.05
GISS:global:Apr,1907-04-01,-0.37
GISS:global:Apr,1908-04-01,-0.45
GISS:global:Apr,1909-04-01,-0.59
GISS:global:Apr,1910-04-01,-0.43
GISS:global:Apr,1911-04-01,-0.55
GISS:global:Apr,1912-04-01,-0.19
GISS:global:Apr,1913-04-01,-0.41
GISS:global:Apr,1914-04-01,-0.3
GISS:global:Apr,1915-04-01,0.06
GISS:global:Apr,1916-04-01,-0.31
GISS:global:Apr,1917-04-01,-0.55
GISS:global:Apr,1918-04-01,-0.45
GISS:global:Apr,1919-04-01,-0.13
GISS:global:Apr,1920-04-01,-0.25
GISS:global:Apr,1921-04-01,-0.3
GISS:global:Apr,1922-04-01,-0.23
GISS:global:Apr,1923-04-01,-0.41
GISS:global:Apr,1924-04-01,-0.3
GISS:global:Apr,1925-04-01,-0.26
GISS:global:Apr,1926-04-01,-0.13
GISS:global:Apr,1927-04-01,-0.31
GISS:global:Apr,1928-04-01,-0.29
GISS:global:Apr,1929-04-01,-0.42
GISS:global:Apr,1930-04-01,-0.25
GISS:global:Apr,1931-04-01,-0.23
GISS:global:Apr,1932-04-01,-0.06
GISS:global:Apr,1933-04-01,-0.24
GISS:global:Apr,1934-04-01,-0.31
GISS:global:Apr,1935-04-01,-0.38
GISS:global:Apr,1936-04-01,-0.2
GISS:global:Apr,1937-04-01,-0.16
GISS:global:Apr,1938-04-01,0.06
GISS:global:Apr,1939-04-01,-0.1
GISS:global:Apr,1940-04-01,0.17
GISS:global:Apr,1941-04-01,0.15
GISS:global:Apr,1942-04-01,0.09
GISS:global:Apr,1943-04-01,0.11
GISS:global:Apr,1944-04-01,0.19
GISS:global:Apr,1945-04-01,0.2
GISS:global:Apr,1946-04-01,0.06
GISS:global:Apr,1947-04-01,0.06
GISS:global:Apr,1948-04-01,-0.12
GISS:global:Apr,1949-04-01,-0.11
GISS:global:Apr,1950-04-01,-0.21
GISS:global:Apr,1951-04-01,-0.14
GISS:global:Apr,1952-04-01,0.03
GISS:global:Apr,1953-04-01,0.2
GISS:global:Apr,1954-04-01,-0.14
GISS:global:Apr,1955-04-01,-0.22
GISS:global:Apr,1956-04-01,-0.27
GISS:global:Apr,1957-04-01,0.0
GISS:global:Apr,1958-04-01,0.01
GISS:global:Apr,1959-04-01,0.16
GISS:global:Apr,1960-04-01,-0.15
GISS:global:Apr,1961-04-01,0.13
GISS:global:Apr,1962-04-01,0.05
GISS:global:Apr,1963-04-01,-0.07
GISS:global:Apr,1964-04-01,-0.32
GISS:global:Apr,1965-04-01,-0.19
GISS:global:Apr,1966-04-01,-0.13
GISS:global:Apr,1967-04-01,-0.05
GISS:global:Apr,1968-04-01,-0.05
GISS:global:Apr,1969-04-01,0.17
GISS:global:Apr,1970-04-01,0.05
GISS:global:Apr,1971-04-01,-0.07
GISS:global:Apr,1972-04-01,0.0
GISS:global:Apr,1973-04-01,0.27
GISS:global:Apr,1974-04-01,-0.12
GISS:global:Apr,1975-04-01,0.04
GISS:global:Apr,1976-04-01,-0.07
GISS:global:Apr,1977-04-01,0.26
GISS:global:Apr,1978-04-01,0.17
GISS:global:Apr,1979-04-01,0.15
GISS:global:Apr,1980-04-01,0.29
GISS:global:Apr,1981-04-01,0.32
GISS:global:Apr,1982-04-01,0.15
GISS:global:Apr,1983-04-01,0.27
GISS:global:Apr,1984-04-01,0.05
GISS:global:Apr,1985-04-01,0.12
GISS:global:Apr,1986-04-01,0.22
GISS:global:Apr,1987-04-01,0.24
GISS:global:Apr,1988-04-01,0.42
GISS:global:Apr,1989-04-01,0.29
GISS:global:Apr,1990-04-01,0.56
GISS:global:Apr,1991-04-01,0.51
GISS:global:Apr,1992-04-01,0.27
GISS:global:Apr,1993-04-01,0.28
GISS:global:Apr,1994-04-01,0.41
GISS:global:Apr,1995-04-01,0.46
GISS:global:Apr,1996-04-01,0.33
GISS:global:Apr,1997-04-01,0.34
GISS:global:Apr,1998-04-01,0.63
GISS:global:Apr,1999-04-01,0.31
GISS:global:Apr,2000-04-01,0.56
GISS:global:Apr,2001-04-01,0.5
GISS:global:Apr,2002-04-01,0.58
GISS:global:Apr,2003-04-01,0.55
GISS:global:Apr,2004-04-01,0.61
GISS:global:Apr,2005-04-01,0.67
GISS:global:Apr,2006-04-01,0.47
GISS:global:Apr,2007-04-01,0.77
GISS:global:Apr,2008-04-01,0.54
GISS:global:Apr,2009-04-01,0.61
GISS:global:Apr,2010-04-01,0.85
GISS:global:Apr,2011-04-01,0.64
GISS:global:Apr,2012-04-01,0.73
GISS:global:Apr,2013-04-01,0.53
GISS:global:Apr,2014-04-01,0.81
GISS:global:Apr,2015-04-01,0.75
GISS:global:Apr,2016-04-01,1.09
GISS:global:Apr,2017-04-01,0.93
GISS:global:Apr,2018-04-01,0.88
GISS:global:Apr,2019-04-01,1.0
GISS:global:Apr,2020-04-01,1.12
GISS:global:Apr,2021-04-01,0.76
GISS:global:Apr,2022-04-01,0.83
GISS:global:Apr,2023-04-01,0.98
GISS:global:Apr,2024-04-01,1.32
GISS:global:Apr,2025-04-01,1.24
GISS:global:Apr,2026-04-01,1.17
