series_id,obs_date,value
GISS:south_hemisphere:Feb,1880-02-01,0.02
GISS:south_hemisphere:Feb,1881-02-01,-0.07
GISS:south_hemisphere:Feb,1882-02-01,0.06
GISS:south_hemisphere:Feb,1883-02-01,-0.09
GISS:south_hemisphere:Feb,1884-02-01,-0.06
GISS:south_hemisphere:Feb,1885-02-01,-0.23
GISS:south_hemisphere:Feb,1886-02-01,-0.2
GISS:south_hemisphere:Feb,1887-02-01,-0.44
GISS:south_hemisphere:Feb,1888-02-01,-0.13
GISS:south_hemisphere:Feb,1889-02-01,0.03
GISS:south_hemisphere:Feb,1890-02-01,-0.33
GISS:south_hemisphere:Feb,1891-02-01,-0.26
GISS:south_hemisphere:Feb,1892-02-01,-0.06
GISS:south_hemisphere:Feb,1893-02-01,-0.18
GISS:south_hemisphere:Feb,1894-02-01,-0.16
GISS:south_hemisphere:Feb,1895-02-01,-0.06
GISS:south_hemisphere:Feb,1896-02-01,-0.07
GISS:south_hemisphere:Feb,1897-02-01,0.07
GISS:south_hemisphere:Feb,1898-02-01,-0.16
GISS:south_hemisphere:Feb,1899-02-01,-0.13
GISS:south_hemisphere:Feb,1900-02-01,0.02
GISS:south_hemisphere:Feb,1901-02-01,-0.13
GISS:south_hemisphere:Feb,1902-02-01,-0.15
GISS:south_hemisphere:Feb,1903-02-01,-0.23
GISS:south_hemisphere:Feb,1904-02-01,-0.57
GISS:south_hemisphere:Feb,1905-02-01,-0.36
GISS:south_hemisphere:Feb,1906-02-01,-0.05
GISS:south_hemisphere:Feb,1907-02-01,-0.31
GISS:south_hemisphere:Feb,1908-02-01,-0.38
GISS:south_hemisphere:Feb,1909-02-01,-0.47
GISS:south_hemisphere:Feb,1910-02-01,-0.46
GISS:south_hemisphere:Feb,1911-02-01,-0.58
GISS:south_hemisphere:Feb,1912-02-01,-0.15
GISS:south_hemisphere:Feb,1913-02-01,-0.27
GISS:south_hemisphere:Feb,1914-02-01,-0.11
GISS:south_hemisphere:Feb,1915-02-01,0.01
GISS:south_hemisphere:Feb,1916-02-01,-0.14
GISS:south_hemisphere:Feb,1917-02-01,-0.59
GISS:south_hemisphere:Feb,1918-02-01,-0.25
GISS:south_hemisphere:Feb,1919-02-01,-0.06
GISS:south_hemisphere:Feb,1920-02-01,-0.25
GISS:south_hemisphere:Feb,1921-02-01,-0.29
GISS:south_hemisphere:Feb,1922-02-01,-0.27
GISS:south_hemisphere:Feb,1923-02-01,-0.33
GISS:south_hemisphere:Feb,1924-02-01,-0.25
GISS:south_hemisphere:Feb,1925-02-01,-0.43
GISS:south_hemisphere:Feb,1926-02-01,-0.13
GISS:south_hemisphere:Feb,1927-02-01,-0.28
GISS:south_hemisphere:Feb,1928-02-01,-0.27
GISS:south_hemisphere:Feb,1929-02-01,-0.37
GISS:south_hemisphere:Feb,1930-02-01,-0.35
GISS:south_hemisphere:Feb,1931-02-01,-0.16
GISS:south_hemisphere:Feb,1932-02-01,-0.16
GISS:south_hemisphere:Feb,1933-02-01,-0.29
GISS:south_hemisphere:Feb,1934-02-01,-0.4
GISS:south_hemisphere:Feb,1935-02-01,-0.3
GISS:south_hemisphere:Feb,1936-02-01,-0.24
GISS:south_hemisphere:Feb,1937-02-01,-0.18
GISS:south_hemisphere:Feb,1938-02-01,-0.22
GISS:south_hemisphere:Feb,1939-02-01,-0.13
GISS:south_hemisphere:Feb,1940-02-01,0.03
GISS:south_hemisphere:Feb,1941-02-01,0.16
GISS:south_hemisphere:Feb,1942-02-01,0.14
GISS:south_hemisphere:Feb,1943-02-01,-0.05
GISS:south_hemisphere:Feb,1944-02-01,0.04
GISS:south_hemisphere:Feb,1945-02-01,0.08
GISS:south_hemisphere:Feb,1946-02-01,-0.03
GISS:south_hemisphere:Feb,1947-02-01,-0.12
GISS:south_hemisphere:Feb,1948-02-01,-0.14
GISS:south_hemisphere:Feb,1949-02-01,-0.19
GISS:south_hemisphere:Feb,1950-02-01,-0.27
GISS:south_hemisphere:Feb,1951-02-01,-0.32
GISS:south_hemisphere:Feb,1952-02-01,0.06
GISS:south_hemisphere:Feb,1953-02-01,-0.07
GISS:south_hemisphere:Feb,1954-02-01,-0.19
GISS:south_hemisphere:Feb,1955-02-01,-0.2
GISS:south_hemisphere:Feb,1956-02-01,-0.17
GISS:south_hemisphere:Feb,1957-02-01,-0.02
GISS:south_hemisphere:Feb,1958-02-01,0.16
GISS:south_hemisphere:Feb,1959-02-01,-0.02
GISS:south_hemisphere:Feb,1960-02-01,-0.15
GISS:south_hemisphere:Feb,1961-02-01,0.07
GISS:south_hemisphere:Feb,1962-02-01,-0.07
GISS:south_hemisphere:Feb,1963-02-01,-0.14
GISS:south_hemisphere:Feb,1964-02-01,-0.17
GISS:south_hemisphere:Feb,1965-02-01,0.02
GISS:south_hemisphere:Feb,1966-02-01,-0.12
GISS:south_hemisphere:Feb,1967-02-01,-0.03
GISS:south_hemisphere:Feb,1968-02-01,-0.13
GISS:south_hemisphere:Feb,1969-02-01,0.12
GISS:south_hemisphere:Feb,1970-02-01,0.17
GISS:south_hemisphere:Feb,1971-02-01,-0.1
GISS:south_hemisphere:Feb,1972-02-01,0.17
