series_id,obs_date,value
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2010-01-01,51.374
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2011-01-01,48.639
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2012-01-01,46.906
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2013-01-01,46.803
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2014-01-01,43.367
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2015-01-01,40.924
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2016-01-01,39.91
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2017-01-01,38.688
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2018-01-01,37.294
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2019-01-01,36.424
WHO_SDG:SDGAIRBODA.AFG.SEX_MLE.GHECAUSE_GHE000390.A,2021-01-01,23.948
