series_id,obs_date,value
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,40.861
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,39.097
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,38.477
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,38.903
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,39.355
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,40.027
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,40.299
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,41.792
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,42.733
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,42.781
WHO_SDG:SDGAIRBODA.BGD.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,35.093
