series_id,obs_date,value
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2010-01-01,0.92
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2011-01-01,0.801
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2012-01-01,0.761
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2013-01-01,0.774
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2014-01-01,0.765
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2015-01-01,0.73
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2016-01-01,0.676
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2017-01-01,0.666
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2018-01-01,0.738
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2019-01-01,0.694
WHO_SDG:SDGAIRBODA.BLR.SEX_FMLE.GHECAUSE_GHE001180.A,2021-01-01,0.197
