series_id,obs_date,value
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2010-01-01,7.601
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2011-01-01,7.382
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2012-01-01,7.35
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2013-01-01,7.302
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2014-01-01,7.639
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2015-01-01,7.669
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2016-01-01,7.566
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2017-01-01,7.77
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2018-01-01,7.669
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2019-01-01,7.706
WHO_SDG:SDGAIRBODA.BLZ.SEX_BTSX.GHECAUSE_GHE001140.A,2021-01-01,8.223
