series_id,obs_date,value
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2010-01-01,34.995
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2011-01-01,34.464
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2012-01-01,34.083
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2013-01-01,34.096
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2014-01-01,34.206
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2015-01-01,33.727
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2016-01-01,33.727
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2017-01-01,32.448
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2018-01-01,31.996
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2019-01-01,31.729
WHO_SDG:SDGAIRBODA.BOL.SEX_MLE.GHECAUSE_GHE001130.A,2021-01-01,26.115
