series_id,obs_date,value
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2010-01-01,1.156
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2011-01-01,2.087
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2012-01-01,1.924
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2013-01-01,2.804
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2014-01-01,3.435
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2015-01-01,3.797
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2016-01-01,3.688
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2017-01-01,2.67
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2018-01-01,1.873
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2019-01-01,1.59
WHO_SDG:SDGAIRBODA.BRN.SEX_FMLE.GHECAUSE_GHE000390.A,2021-01-01,0.774
