series_id,obs_date,value
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2010-01-01,17.465
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2011-01-01,17.244
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2012-01-01,17.075
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2013-01-01,16.647
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2014-01-01,16.014
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2015-01-01,15.559
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2016-01-01,15.059
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2017-01-01,14.618
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2018-01-01,14.262
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2019-01-01,13.869
WHO_SDG:SDGAIRBODA.CIV.SEX_BTSX.GHECAUSE_GHE001180.A,2021-01-01,10.598
