series_id,obs_date,value
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2010-01-01,100.562
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2011-01-01,97.989
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2012-01-01,96.37
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2013-01-01,93.04
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2014-01-01,89.629
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2015-01-01,85.319
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2016-01-01,81.137
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2017-01-01,82.222
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2018-01-01,81.627
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2019-01-01,77.331
WHO_SDG:SDGAIRBODA.COD.SEX_BTSX.GHECAUSE_GHE000390.A,2021-01-01,78.214
