series_id,obs_date,value
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2010-01-01,74.45
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2011-01-01,73.26
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2012-01-01,73.008
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2013-01-01,71.089
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2014-01-01,69.019
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2015-01-01,66.148
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2016-01-01,65.309
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2017-01-01,63.454
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2018-01-01,62.15
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2019-01-01,60.869
WHO_SDG:SDGAIRBODA.COG.SEX_BTSX.GHECAUSE_GHE001130.A,2021-01-01,55.704
