series_id,obs_date,value
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2010-01-01,15.754
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2011-01-01,14.676
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2012-01-01,14.616
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2013-01-01,14.269
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2014-01-01,14.794
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2015-01-01,13.09
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2016-01-01,12.789
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2017-01-01,11.891
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2018-01-01,10.729
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2019-01-01,8.845
WHO_SDG:SDGAIRBODA.CRI.SEX_BTSX.GHECAUSE_GHE001130.A,2021-01-01,9.102
