series_id,obs_date,value
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2010-01-01,2.558
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2011-01-01,1.823
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2012-01-01,1.838
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2013-01-01,1.752
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2014-01-01,1.558
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2015-01-01,1.851
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2016-01-01,1.762
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2017-01-01,2.125
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2018-01-01,2.387
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2019-01-01,1.95
WHO_SDG:SDGAIRBODA.CZE.SEX_FMLE.GHECAUSE_GHE000390.A,2021-01-01,1.655
