series_id,obs_date,value
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2010-01-01,2.753
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2011-01-01,2.79
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2012-01-01,2.429
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2013-01-01,2.357
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2014-01-01,2.147
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2015-01-01,2.13
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2016-01-01,1.91
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2017-01-01,1.858
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2018-01-01,1.809
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2019-01-01,1.615
WHO_SDG:SDGAIRBODA.DEU.SEX_MLE.GHECAUSE_GHE000680.A,2021-01-01,1.31
