series_id,obs_date,value
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2010-01-01,211.832
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2011-01-01,209.746
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2012-01-01,206.711
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2013-01-01,206.621
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2014-01-01,203.311
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2015-01-01,202.087
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2016-01-01,200.061
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2017-01-01,198.56
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2018-01-01,196.498
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2019-01-01,193.801
WHO_SDG:SDGAIRBODA.ERI.SEX_FMLE.GHECAUSE_GHE000000.A,2021-01-01,205.096
