series_id,obs_date,value
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2010-01-01,23.583
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2011-01-01,19.623
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2012-01-01,18.999
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2013-01-01,17.886
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2014-01-01,16.974
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2015-01-01,14.179
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2016-01-01,12.671
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2017-01-01,10.916
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2018-01-01,12.089
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2019-01-01,9.733
WHO_SDG:SDGAIRBODA.EST.SEX_BTSX.GHECAUSE_GHE001130.A,2021-01-01,8.995
