series_id,obs_date,value
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2010-01-01,1.011
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2011-01-01,0.896
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2012-01-01,1.067
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2013-01-01,1.44
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2014-01-01,1.487
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2015-01-01,1.032
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2016-01-01,0.915
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2017-01-01,0.771
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2018-01-01,1.053
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2019-01-01,0.997
WHO_SDG:SDGAIRBODA.EST.SEX_MLE.GHECAUSE_GHE000390.A,2021-01-01,0.797
