series_id,obs_date,value
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,8.067
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,7.372
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,6.65
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,5.92
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,5.098
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,4.926
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,4.015
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,3.859
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,3.793
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,3.733
WHO_SDG:SDGAIRBODA.FIN.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,2.264
