series_id,obs_date,value
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2010-01-01,6.345
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2011-01-01,6.177
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2012-01-01,5.44
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2013-01-01,5.066
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2014-01-01,5.244
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2015-01-01,5.1
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2016-01-01,4.911
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2017-01-01,4.672
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2018-01-01,4.518
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2019-01-01,4.275
WHO_SDG:SDGAIRBODA.GAB.SEX_FMLE.GHECAUSE_GHE001180.A,2021-01-01,3.313
